X,Y,OBJECTID,PARCELID,LOWPARCELID,CVTTXCD,CVTTXDSCRP,SCHLTXCD,SCHLDSCRP,NBHDCD,SITEADDRESS,ZIPCD,CdqYear,NetAnnualTax,SpecialAssessments,TotalOwed,TotalPaid,TotalBalance,X_COORD,Y_COORD,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date
1837141.831,710186.3216,19,010-001151,010J020     07500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,810 OAKWOOD AV,43206,2020,268.72,0,416.88,133.06,283.82,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834519.983,715431.6728,20,010-001160,010I002     02700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,838 OAK ST,43205,2020,4969.58,0,7180.42,4695.63,2484.79,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1835301.679,715619.0347,21,010-001235,010I003     03800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,939 - 941 MADISON AV,43205,2018,5727.88,22.3,12107.98,6236.51,5871.47,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836596.496,713149.5572,22,010-001305,010I044     09100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,406 S OHIO AV,43205,2020,4012.1,331,8052.66,4729.31,3323.35,,,2021/02/20 00:03:15+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1840705.286,713583.8907,23,010-001311,010I036     07500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,422 BERKELEY RD,43205,2018,1019.68,656.04,4724.26,0,4724.26,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830353.862,702358.3636,24,010-001313,010K065     06200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,109 WOODROW AV,43207,2019,953.84,0,3357.99,2881.07,476.92,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837472.382,712267.994,25,010-001327,010I055     01500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,543 WILSON AV,43205,2020,1769.58,0,2815.51,0,2815.51,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832868.122,703030.4841,26,010-001479,010K060     05800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,445 - 451 MORRILL AV,43207,2016,5427.34,422.88,20447.89,0,20447.89,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1831697.786,711357.0374,27,010-001489,010J003     10100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1601,387 - 399 LIVINGSTON AV,43215,2020,35533.5,0,59005.02,41238.27,17766.75,,,2021/02/13 16:40:42+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837108.636,706164.6593,28,010-001638,010K086     06300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1501,1339 WILSON AV,43206,2018,546.76,86.2,3440.05,0,3440.05,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832665.965,710430.9164,29,010-001657,010J016     14000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,498 ELSMERE ST,43206,2020,1457.18,0,2349.79,1621.2,728.59,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832847.352,703205.8291,30,010-001715,010K060     02100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1644 - 1646 S PARSONS AV,43207,2020,815.74,0,1250.5,842.63,407.87,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836051.438,702280.6066,31,010-001750,010N030B    07900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1501,WOODROW AV,43207,2020,141.36,0,227.31,0,227.31,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837602.125,716047.1153,32,010-001787,010I005     03100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1258 MADISON AV,43205,2014,1398.4,220.39,2083.31,1280.5,802.81,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837901.253,712127.7453,33,010-001813,010I055     03100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,571 LINWOOD AV,43205,2020,4284.56,277.22,5127.94,2896.9,2231.04,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837468.122,712203.9993,34,010-001895,010I055     01300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,551 WILSON AV,43205,2020,701.3,67.06,1133.49,0,1133.49,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836224.524,710410.1626,35,010-001906,010J007     09900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,981 E LIVINGSTON AV,43205,2020,2418.96,0,5372.52,0,5372.52,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1829644.673,701415.8921,36,010-001978,010K073     08700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1822 - 1824 S HIGH ST,43207,2020,1674.14,179.03,2871.59,848.77,2022.82,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837627.098,709184.9166,37,010-002019,010J031     09800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1134 E COLUMBUS ST,43206,2020,222.34,0,332.8,221.63,111.17,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833543.042,714974.8065,38,010-002040,010I022     02600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,703 FRANKLIN AV,43205,2016,3527.22,661.6,14379.67,0,14379.67,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832308.853,711330.68,39,010-002131,010J004     12300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,475 E LIVINGSTON AV,43215,2020,7202.3,0,10987.97,7386.82,3601.15,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839053.393,710040.2253,40,010-002222,010J022     05700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1500,864 MILLER AV,43206,2020,791.76,215.45,1649.38,0,1649.38,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830577.881,706328.3356,41,010-002227,010K026     07600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,159 E MITHOFF ST,43206,2020,4406.94,0,8739.17,5905.69,2833.48,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1841879.23,709591.6517,42,010-002244,010N011     12300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1500,970 BULEN AV,43206,2019,1330.8,312.49,3991.54,0,3991.54,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830247.422,701674.9131,43,010-002304,010K073     04400,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,92 REEB AV,43207,2020,961.3,0,1466.52,985.87,480.65,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1841489.723,714370.3298,44,010-002312,010I028     05000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1744 - 1746 BRYDEN RD,43205,2017,3867.92,193,8341.02,0,8341.02,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1829268.768,711390.6614,45,010-002454,010J001     05600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1601,500 - 504 CITY PARK AV,43215,2020,8974.26,0,19472.46,0,19472.46,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836147.271,713823.4403,46,010-002627,010I032     06500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1025 E RICH ST,43205,2018,413.6,89.06,1390.87,0,1390.87,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838661.557,709261.8168,47,010-002629,010J032     00700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,960 LOCKBOURNE RD,43206,2020,1383.04,313.2,3346.26,0,3346.26,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832365.103,708617.5235,48,010-002655,010J036     10100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,426 E WHITTIER ST,43206,2020,4590.58,0,7195.04,0,7195.04,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830914.863,697669.9498,49,010-002658,010N029M    03100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,7401,FORNOF RD,43207,2019,155.14,0,539.9,0,539.9,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836716.87,712558.5761,50,010-002738,010I044     03000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1074 - 1076 E FULTON ST,43205,2017,701.66,803.52,3422.89,0,3422.89,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1860010.512,707420.5156,51,010-002741,010N108A    10500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,6800,4036 - 4056 CARLTON AV,43227,2020,17279.06,215.63,42333.47,33693.94,8639.53,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832854.843,707810.3548,52,010-002758,010J046     12300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,476 ZIMPFER ST,43206,2020,3975.16,0,5582.24,3594.66,1987.58,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836754.014,707138.5981,53,010-002781,010J058     12800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1205 OAKWOOD AV,43206,2018,1545.12,1026.89,7627.84,0,7627.84,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1835496.389,710326.4296,54,010-002834,010J019     03900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,761 GILBERT ST,43206,2018,1862.9,1035.23,8961.85,0,8961.85,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836458.953,711023.5189,55,010-002864,010J008     01700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1607,686 S OHIO AV,43205,2019,1696.56,871.7,6061.53,5213.25,848.28,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833376.246,705501.9962,56,010-002902,010K036     06800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,505 HANFORD ST,43206,2020,1504.62,157.5,2549.6,0,2549.6,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834673.541,710472.8987,57,010-002988,010J006     03900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,716 S EIGHTEENTH ST,43206,2016,1351.08,90.23,5059.66,270,4789.66,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833012.839,703182.9404,58,010-003062,010K060     02600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,470 E MORRILL AV,43207,2018,825.36,63.96,3753.51,0,3753.51,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839951.483,712124.4731,59,010-003083,010I057     03900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,606 KELTON AV,43205,2020,888.58,0,1154.01,0,1154.01,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836949.232,710199.3359,60,010-003177,010J020     07100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,807 OAKWOOD AV,43206,2020,218.6,0,458.6,349.3,109.3,,,2021/02/18 00:02:42+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839237.448,714439.6805,61,010-003189,010I026     05000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1444 BRYDEN RD,43205,2020,931.46,63.52,1429.32,963.59,465.73,,,2021/02/23 00:02:58+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836648.783,707153.2954,62,010-003201,010J058     13300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,965 STEWART AV,43206,2019,803.26,45.81,1955,1530.47,424.53,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1831675.878,707305.531,63,010-003354,010J051     02100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,308 - 310 E DESHLER AV,43206,2020,9234.16,0,16939.25,0,16939.25,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1832333.003,710767.3449,64,010-003372,010J004     01000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,462 BECK ST,43206,2020,5034.74,68.3,7659.07,0,7659.07,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836571.455,712777.6624,65,010-003379,010I044     04900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,454 - 456 S OHIO AV,43205,2020,1399.4,285.62,2512.96,0,2512.96,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839180.625,715200.1842,66,010-003566,010I016     08000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1454 OAK ST,43205,2020,752.26,0,1049.52,673.39,376.13,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838175.937,714173.9506,67,010-003591,010I034     04300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,308 LINWOOD AV,43205,2019,1324.02,66.47,3178.8,700,2478.8,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834439.309,705910.5949,68,010-003607,010K029     01300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,652 E GATES ST,43206,2020,444.8,64.19,974.14,425,549.14,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834329.415,705744.5183,69,010-003615,010K037     02900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,637 E GATES ST,43206,2019,1052.96,461.37,3742.27,0,3742.27,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834355.013,705602.8543,70,010-003619,010K037     04700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,HANFORD ST,43206,2020,237.26,0,377.6,0,377.6,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838644.845,711368.0778,71,010-003682,010I064     03500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1500,684 KIMBALL PL,43205,2020,4318.68,228.8,6663.83,4658.29,2005.54,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837101.908,712151.3628,72,010-003758,010I054     00200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1116 - 1122 COLE ST,43205,2020,3142.26,241.03,5081.45,0,5081.45,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838657.701,712229.4089,73,010-003784,010I056     04800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,568 - 570 KIMBALL PL,43205,2020,2012.2,313.25,3515.78,0,3515.78,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838676.383,715654.0842,74,010-003787,010I009     01900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1388 FAIR AV,43205,2020,3002.84,0,7800.67,0,7800.67,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839005.314,709366.2404,75,010-003926,010J032     02500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1500,MILLER AV,43206,2016,117.82,199.77,1023.71,0,1023.71,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836913.289,710345.2206,76,010-004115,010J008     11400,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1065 E LIVINGSTON AV,43205,2018,3167.7,1289.17,15357.53,4440.62,10916.91,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834966.159,709790.9525,77,010-004169,010J018     11000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,812 HEYL AV,43206,2019,1149.22,0,2652.55,0,2652.55,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838026.53,714881.4673,78,010-004233,010I015     03900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1290 FRANKLIN AV,43205,2020,3913.46,0,8263.61,4263.28,4000.33,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833728.072,705344.3845,79,010-004354,010K036     10000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,572 FREBIS AV,43206,2019,2975.1,283.32,5967.59,2273.14,3694.45,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837094.427,707640.3806,80,010-004418,010J056     08200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1032 SIEBERT ST,43206,2017,1715.22,0,3519.77,1301.64,2218.13,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837527.699,714259.5307,81,010-004441,010I025     07900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1219 BRYDEN RD,43205,2020,379.08,0,813.26,0,813.26,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838889.98,713503.6526,82,010-004457,010I035     03900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1380 E MAIN ST,43205,2015,605.12,0,3809.13,0,3809.13,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1841350.922,713415.2632,83,010-004477,010I037     05400,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1710 E MAIN ST,43205,2019,1629.1,188.39,5649.04,0,5649.04,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837015.145,710310.785,84,010-004493,010J008     11000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,791 OAKWOOD AV,43205,2017,89,0,566.01,0,566.01,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1829530.871,706252.6312,85,010-004583,010K025     00500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1604,1180 HIGH ST,43206,2020,6879.92,0,15280.65,0,15280.65,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838148.866,710023.8051,86,010-004677,010J021     11200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,855 STUDER AV,43206,2018,1531.58,0,2829.28,1527.28,1302,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836059.453,714182.2232,87,010-004870,010I024     00100,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,260 S TWENTY FIRST ST,43205,2020,1250.82,0,1318.49,693.08,625.41,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836587.625,710560.0914,88,010-004875,010J008     03300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,E LIVINGSTON AV,43205,2018,474.22,0,2182.46,0,2182.46,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834443.899,713634.6403,89,010-004901,010I031     03400,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,792 E MAIN ST,43205,2020,987.42,593.66,2785.49,0,2785.49,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838711.25,713902.4338,90,010-004952,010I035     00300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1364 E RICH ST,43205,2020,776.3,241.03,1476.87,0,1476.87,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
