CPL2021-00333,"18357 ROSEAPPLE LN, FORT MYERS FL 33967",18357 ROSEAPPLE LN,Large wood accessory structure in the back yard without a permit,Closed-No Violation,0
CPL2021-00334,"17614 CORALLINA DR, MATLACHA ISLES FL 33991",17614 CORALLINA DR,Complaint of seawall in disrepair. 239-222-0133 call Jack to allow access. (Neighbor),Closed-Violation Created,1
CPL2021-00335,"9107 IRVING RD, FORT MYERS FL 33967",9107 IRVING RD,Wood accessory structure built in the rear without a permit,Closed-No Violation,0
CPL2021-00336,"17288 MALAGA RD, FORT MYERS FL 33967",17288 MALAGA RD,"Small malnourished tan and black male canine roaming streets between Coral Dr, Oriole Rd, Knight Dr, and Grove. Personally had the dog run under the front of our car twice within the last week on Oriole.",Closed-Non Enforcement,0
CPL2021-00337,"3500 52ND ST W, LEHIGH ACRES FL 33971",3500 52ND ST W,Complaint of barn with expired permit and extension to driveway.,Closed-No Violation,0
CPL2021-00338,"15061 STRINGFELLOW RD, BOKEELIA FL 33922",15061 STRINGFELLOW RD,Pay Fee,Closed-Non Enforcement,0
CPL2021-00339,"19125 WILDBLUE BLVD, FORT MYERS FL 33913",19125 WILDBLUE BLVD,added split a/c unit without permit,Closed-Violation Created,1
CPL2021-00340,"702 JACKSON AVE, LEHIGH ACRES FL 33972",702 JACKSON AVE,"Debris, yard storage, tent in yard (apparently permanently, appears someone living in the yard), constantly driving truck through vacant lot behind home that they do not own.",Closed-Violation Created,1
CPL2021-00341,"18437 NARCISSUS RD, FORT MYERS FL 33967",18437 NARCISSUS RD,rooster on property - side fenced area,Closed-No Violation,0
CPL2021-00342,"12369 CRYSTAL COMMERCE LOOP, FORT MYERS FL 33966",12369 CRYSTAL COMMERCE LOOP,UNIT B  MCS CABINETS CAN FIND NO OCC/USE OR COM PERMIT,Closed-Violation Created,1
CPL2021-00343,"12320 CRYSTAL COMMERCE LOOP, FORT MYERS FL 33966",12320 CRYSTAL COMMERCE LOOP,MCS CABINETS  NO OCC/USE PERMIT,Closed-Violation Created,1
CPL2021-00344,"12350 CRYSTAL COMMERCE LOOP, FORT MYERS FL 33966",12350 CRYSTAL COMMERCE LOOP,STONE PRO UNIT #3  NO OCC/USE PERMIT,Closed-Violation Created,1
CPL2021-00345,"302 HIGHLAND AVE, LEHIGH ACRES FL 33936",302 HIGHLAND AVE,dump truck,Closed-Violation Created,1
CPL2021-00346,"12036 AVINGSTON LAKE DR, FORT MYERS FL 33966",12036 AVINGSTON LAKE DR,work no permit addition / wall all no permit / massive fire pits,Closed-No Violation,0
CPL2021-00347,"12001 AVINGSTON LAKE DR, FORT MYERS FL 33966",12001 AVINGSTON LAKE DR,second floor wall removed and new wall added no permit,Closed-No Violation,0
CPL2021-00348,"15460 CATALPA COVE LN, FORT MYERS FL 33908",15460 CATALPA COVE LN,lights directed at windows causing neighbors house to be illuminated,Closed-No Violation,0
CPL2021-00349,"3506 10TH ST SW, LEHIGH ACRES FL 33976",3506 10TH ST SW,trash and debris on property - no trash container,Closed-No Violation,0
CPL2021-00350,"308 MAINE PL, LEHIGH ACRES FL 33936",308 MAINE PL,411 Lee BLVD will allow access. Chickens on property. 239-248-3238,Closed-Violation Created,1
CPL2021-00351,"3300 35TH ST SW, LEHIGH ACRES FL 33976",3300 35TH ST SW,unlicensed contractor,Closed-No Violation,0
CPL2021-00352,"707 NED AVE, LEHIGH ACRES FL 33971",707 NED AVE,"UNREGISTERED/INOPERABLE VEHICLES, SELLING MULTIPLE CARS ON PROPERTY",Closed-Violation Created,1
CPL2021-00353,"4397 SAINT CLAIR AVE W, NORTH FORT MYERS FL 33903",4397 SAINT CLAIR AVE W,Complaint of nuisance all over property and white car unregistered.,Closed-No Violation,0
CPL2021-00354,"3017 LAURA CT, LEHIGH ACRES FL 33971",3017 LAURA CT,permitted uses / people living on vacant lot RV or mobile home / trucks,Closed-No Violation,0
CPL2021-00355,"10200 PINE LAKES BLVD, NORTH FORT MYERS FL 33903",10200 PINE LAKES BLVD,No permit / enclosing car port,Closed-Violation Created,1
CPL2021-00356,"12540 MCGREGOR BLVD, FORT MYERS FL 33919",12540 MCGREGOR BLVD,lot mow and trash in yard,Closed-No Violation,0
CPL2021-00357,"4441 VIRGINIA ST, FORT MYERS FL 33905",4441 VIRGINIA ST,Garage and remodel of roof  and windows without permits.,Closed-No Violation,0
CPL2021-00358,"9115 CYPRESS DR N, FORT MYERS FL 33967",9115 CYPRESS DR N,lot mow,Closed-Violation Created,1
CPL2021-00359,"2600 10TH ST W, LEHIGH ACRES FL 33971",2600 10TH ST W,painting and sanding boats - running a business,Closed-No Violation,0
CPL2021-00360,"4561 GIBSON CIR, FORT MYERS FL 33905",4561 GIBSON CIR,nuisance on an empty lot,Closed-Violation Created,1
CPL2021-00361,"320 DELLWOOD AVE, LEHIGH ACRES FL 33936",320 DELLWOOD AVE,"lot mow, nuisance of trailers in back yard.",Closed-No Violation,0
CPL2021-00362,"2864 TRIGGERFISH ST, MATLACHA FL 33993",2864 TRIGGERFISH ST,"Interior remodel without a permit, dumpster out front, tiki hut being built out back without permit, decking being built without permit.",Closed-Violation Created,1
CPL2021-00363,"5150 SANDPIPER DR, SAINT JAMES CITY FL 33956",5150 SANDPIPER DR,"dock remodeled without a permit, concrete bags storage on property",Closed-Violation Created,1
CPL2021-00364,"244 LAGOON DR, FORT MYERS FL 33905",244 LAGOON DR,"Fence being put up without permit, enclosed the bottom portion of stilt home without permit, property appraiser current photo shows work being done.",Closed-No Violation,0
CPL2021-00365,"1141 BELGRAVE ST, FORT MYERS FL 33913",1141 BELGRAVE ST,Black limousine parked in driveway with no license plate. A second black limousine is parked along the road in front of the house with no license plate. A broken down RV is in the driveway with mechanical parts scattered around it.,Closed-Violation Created,1
CPL2021-00366,"959 RIDGEWAY DR, NORTH FORT MYERS FL 33903",959 RIDGEWAY DR,Complaint of abandoned vec.,Closed-Violation Created,1
CPL2021-00367,"15331 N MALLARD LN, FORT MYERS FL 33913",15331 N MALLARD LN,Running a business from home and remodeling home without permit.,Closed-No Violation,0
CPL2021-00368,"8925 SKAGWAY CT, SAINT JAMES CITY FL 33956",8925 SKAGWAY CT,Expired RES2019-06529 and did electrical work without Issued ELE2020-03651,Closed-No Violation,0
CPL2021-00369,"339 LONG AVE S, LEHIGH ACRES FL 33974",339 LONG AVE S,"The home has loads of trash not only in their yard, but it's extending onto the lots around their home.  They also have old appliances, etc, all over the yard.  It looks like a horder home and is an extreme eyesore  This home has been reported before.",Closed-Violation Created,1
CPL2021-00370,"904 EDISON AVE, LEHIGH ACRES FL 33972",904 EDISON AVE,Dumpster was removed remaining trash and large rocks were pushed to the side of the property. After fill dirt was delivered the remaining trash was pushed about the lot and buried with fill dirt. Large rocks were possibly shoved across the road to that lot or buried in the yard as well. They were never hauled away and were at least several 100 pounds in weight.,Closed-No Violation,0
CPL2021-00371,"10250 STRINGFELLOW RD, SAINT JAMES CITY FL 33956",10250 STRINGFELLOW RD,lot mow,Closed-Violation Created,1
CPL2021-00372,"3437 TANGERINE DR, SAINT JAMES CITY FL 33956",3437 TANGERINE DR,lights in backyard shining into neighbors house expired RES2018-10166,Closed-No Violation,0
CPL2021-00373,"16450 SAN CARLOS BLVD, FORT MYERS FL 33908",16450 SAN CARLOS BLVD,paving lot and striping no permits - possible unlicensed contractor,Closed-No Violation,0
CPL2021-00374,"819 GILLIAN AVE, LEHIGH ACRES FL 33974",819 GILLIAN AVE,chickens/rooster on property,Closed-No Violation,0
CPL2021-00375,"6706 GOLDEN RD, NORTH FORT MYERS FL 33917",6706 GOLDEN RD,Detached garage with large whole and roof collapse.,Closed-Violation Created,1
CPL2021-00376,"0 CORNER LOT, LEHIGH ACRES FL 33976",0 CORNER LOT,"Dumping, commercial truck connecting two roadways over the DOT easement/waterway ditch",Closed-No Violation,0
CPL2021-00377,"616 HIGHLAND AVE, LEHIGH ACRES FL 33972",616 HIGHLAND AVE,"Nuisance Accumulation - Including but not limited to construction debris, scattered trash, and other misc debris",Closed-Duplicate Complaint,0
CPL2021-00378,"8334 TRILLIUM RD, FORT MYERS FL 33967",8334 TRILLIUM RD,Driveway and yard is full of junk laying all over again,Closed-Violation Created,1
CPL2021-00379,"1900 CARBONATA DR, ALVA FL 33920",1900 CARBONATA DR,Installing a septic tank without permit,Closed-No Violation,0
CPL2021-00380,"9081 KING RD W, FORT MYERS FL 33967",9081 KING RD W,Debris on property.,Closed-No Violation,0
CPL2021-00381,"9080 KING RD W, FORT MYERS FL 33967",9080 KING RD W,Debris on property / toilet on side of house.,Closed-No Violation,0
CPL2021-00382,"2771 YORK RD, SAINT JAMES CITY FL 33956",2771 YORK RD,POLITICAL SIGNS IN ROW,Closed-Violation Created,1
CPL2021-00383,"1315 THOMPSON ST, NORTH FORT MYERS FL 33903",1315 THOMPSON ST,remodeling inside of house no permits,Closed-No Violation,0
CPL2021-00384,"160 THORNTON AVE S, LEHIGH ACRES FL 33974",160 THORNTON AVE S,Complaint of well system or remodel with out a permit.,Closed-No Violation,0
CPL2021-00385,"1101 SHRIMP BOAT LN, FORT MYERS BEACH FL 33931",1101 SHRIMP BOAT LN,"Fire inspector - people living in the buildings,  building has been divided due to property line dispute,  building has upstairs - Talked to Gala - property owner",Closed-Violation Created,1
CPL2021-00386,"874 CREIGHTON DR, FORT MYERS FL 33919",874 CREIGHTON DR,newly replacing ducts and ac change out no permit,Closed-No Violation,0
CPL2021-00387,"5002 BILLYS CREEK DR, FORT MYERS FL 33905",5002 BILLYS CREEK DR,running a business from property,Closed-No Violation,0
CPL2021-00388,"4500 PINE ISLAND RD NW, MATLACHA FL 33993",4500 PINE ISLAND RD NW,a machine shop/ammunition manufacturing shop being run out of residence (see comments),Closed-No Violation,0
CPL2021-00389,"1266 GRAMAC DR, NORTH FORT MYERS FL 33917",1266 GRAMAC DR,PEOPLE MOVED INTO THE SHED IN BACKYARD LAST NIGHT,Closed-No Violation,0
CPL2021-00390,"3013 LAURA CT, LEHIGH ACRES FL 33971",3013 LAURA CT,3013 Laura Court They are clearing land Zero containment fence illegal burningclearing land they do not own ie 2 lotscamper and living on vacant lands lehigh acres,Closed-Violation Created,1
CPL2021-00391,"5925 YOUNGQUIST RD, FORT MYERS FL 33912",5925 YOUNGQUIST RD,BLUE SKY SOLUTIONS 5931 YOUNGQUIST #2NO OCCUPANCY PERMIT,Closed-No Violation,0
CPL2021-00392,"6240 ARC WAY, FORT MYERS FL 33966",6240 ARC WAY,BROWARD FACTORY SERVICENO OCCUPANCY PERMIT,Closed-No Violation,0
CPL2021-00393,"6430 ARC WAY, FORT MYERS FL 33966",6430 ARC WAY,??PROTECTED PROPERTY??6450 ARC WAY 33901TROPIC SUPPLYNO OCCUPANCY PERMIT,Closed-Violation Created,1
CPL2021-00394,"4907 3RD ST W, LEHIGH ACRES FL 33971",4907 3RD ST W,unregistered vehicles,Closed-No Violation,0
CPL2021-00395,"1213 CASEDALE ST, LEHIGH ACRES FL 33936",1213 CASEDALE ST,unregistered vehicle on side of home.,Closed-No Violation,0
CPL2021-00396,"3919 23RD ST SW, LEHIGH ACRES FL 33976",3919 23RD ST SW,Trailer park on the side of the road (county property) making it hard to see the traffic coming from both sides.,Closed-No Violation,0
CPL2021-00397,"2200 SAFE HARBOUR CT, ALVA FL 33920",2200 SAFE HARBOUR CT,Complaint of sewer issues.,Closed-Non Enforcement,0
CPL2021-00398,"4002 11TH ST SW, LEHIGH ACRES FL 33976",4002 11TH ST SW,Permanent tent/kitchen structure in the back yard welding of trailers mechanic work in the driveway and back yard,Closed-Violation Created,1
CPL2021-00399,"5831 HALIFAX AVE, FORT MYERS FL 33912",5831 HALIFAX AVE,"There is a food truck that has been on the property for several years.  Water and electric lines were put from the building to the food truck by making a path through the pavement of the parking lot.  Also, water pipes are hidden under the rock to push  the water from the food truck to the nearby ditch.  They were dumping oil in the field next to the church.",Closed-Violation Created,1
CPL2021-00400,"1010 HAMILTON AVE, LEHIGH ACRES FL 33972",1010 HAMILTON AVE,Paying for an agreement code enforcement order,Closed-Non Enforcement,0
CPL2021-00401,"1979 LONGFELLOW DR, NORTH FORT MYERS FL 33903",1979 LONGFELLOW DR,unregistered RV at address,Closed-No Violation,0
CPL2021-00402,"5517 MEADOWLARK LN, BOKEELIA FL 33922",5517 MEADOWLARK LN,VIO2019-11503,Closed-Non Enforcement,0
CPL2021-00403,"420 CHAMONIX AVE S, LEHIGH ACRES FL 33974",420 CHAMONIX AVE S,automobile park half in drive way half in road in repair on jacks. motor in drive out of automobile.  2nd complaint,Closed-Duplicate Complaint,0
CPL2021-00404,"7903 BREEZE DR, NORTH FORT MYERS FL 33917",7903 BREEZE DR,nuisance accumulation / trash and debris,Closed-Violation Created,1
CPL2021-00405,"1971 LONGFELLOW DR, NORTH FORT MYERS FL 33903",1971 LONGFELLOW DR,nuisance accumulation / trash and debris / unregistered boats / furniture,Closed-Violation Created,1
CPL2021-00406,"14112 SANDARAC DR, BOKEELIA FL 33922",14112 SANDARAC DR,Complaint of unregistered/inoperable vehicles on property.,Closed-No Violation,0
CPL2021-00407,"832 CHAMPION AVE, LEHIGH ACRES FL 33971",832 CHAMPION AVE,Lawn has not been mowed since mid summer,Closed-Violation Created,1
CPL2021-00408,"20251 LANI LN, NORTH FORT MYERS FL 33917",20251 LANI LN,"Someone living in RV on vacant lot, no sewer hook up.",Closed-No Violation,0
CPL2021-00409,"19150 ACORN RD, FORT MYERS FL 33967",19150 ACORN RD,Red Chevy Envoe inoperable and nuidatrash by dumpster,Closed-No Violation,0
CPL2021-00410,"2616 27TH ST W, LEHIGH ACRES FL 33971",2616 27TH ST W,Semi parked Friday Saturday Sunday,Closed-No Violation,0
CPL2021-00411,"12048 MATLACHA BLVD, CAPE CORAL FL 33991",12048 MATLACHA BLVD,running model home no permit,Closed-No Violation,0
CPL2021-00412,"11325 ZEHNER LN, FORT MYERS FL 33908",11325 ZEHNER LN,lot mow,Closed-Violation Created,1
CPL2021-00413,"543 SUMMIT AVE S, LEHIGH ACRES FL 33974",543 SUMMIT AVE S,"LANAI BEING BUILT WITHOUT PERMIT, COMMERCIAL TRUCKS BEING PARKED, FLATTENED THEIR LAND AND CHANGING THE FLOW OF WATER.",Closed-No Violation,0
CPL2021-00414,"585 PIERRE CIR, LEHIGH ACRES FL 33974",585 PIERRE CIR,broken windows,Closed-No Violation,0
CPL2021-00415,"16350 KELLY COVE DR, 295, FORT MYERS FL 33908",16350 KELLY COVE DR,Condo has been gutted. Reconstruction underway,Closed-Violation Created,1
CPL2021-00416,"123 ALABAMA RD S, LEHIGH ACRES FL 33936",123 ALABAMA RD S,Nuisance and trash in front left side of property.,Closed-No Violation,0
CPL2021-00417,"5645 YOUNGQUIST RD, FORT MYERS FL 33912",5645 YOUNGQUIST RD,DETAILS EXPRESS UNITS #9 & 12 NO OCCUPANCY PERMIT,Closed-No Violation,0
CPL2021-00418,"3013 LAURA CT, LEHIGH ACRES FL 33971",3013 LAURA CT,nuisance accumulation / trash and debris / horticultural waste,Closed-Duplicate Complaint,0
CPL2021-00419,"210 BANYAN ST, BOCA GRANDE FL 33921",210 BANYAN ST,various workmanship problems on door and window install; RES2016-04481,Closed-No Violation,0
CPL2021-00420,"2031 MARAVILLA CIR, FORT MYERS FL 33901",2031 MARAVILLA CIR,Complaint of debris on property and renting an rv out to people.,Closed-Violation Created,1
CPL2021-00421,"819 GILLIAN AVE, LEHIGH ACRES FL 33974",819 GILLIAN AVE,Complaint of chickens and roosters.  817 Grenada will allow access onto property.,Closed-Violation Created,1
CPL2021-00422,"3000 52ND ST W, LEHIGH ACRES FL 33971",3000 52ND ST W,Expired RES2020-01972,Closed-Violation Created,1
CPL2021-00423,"12040 AVINGSTON LAKE DR, FORT MYERS FL 33966",12040 AVINGSTON LAKE DR,"tore down walls without a permit, interior remodel.",Closed-No Violation,0
CPL2021-00424,"13951 RIVER RD, FORT MYERS FL 33905",13951 RIVER RD,Work started without permit issuance,Closed-No Violation,0
CPL2021-00425,"657 CHARLES SISE ST E, LEHIGH ACRES FL 33974",657 CHARLES SISE ST E,LOT MOW,Closed-Violation Created,1
CPL2021-00426,"1516 HIGHLAND AVE, LEHIGH ACRES FL 33972",1516 HIGHLAND AVE,Piles of trees and debris from clearing. Has been on lot for over 2 months,Closed-Duplicate Complaint,0
CPL2021-00427,"206 E 5TH ST, LEHIGH ACRES FL 33972",206 E 5TH ST,The owner of the home has someone living in a travel trailer. The issue to me isn't the trailer. It is the fact they have seemingly dug a hole and are emptying their black water (feces) and grey water (shower) into the ground with no septic system. My septic system and drain sits about 15 feet away from where their hole is. There is no septic system near where they are dumping the system. Can you please investigate because I dont want this to effect my ground water?,Closed-Violation Created,1
CPL2021-00428,"1721 LOUIS AVE, LEHIGH ACRES FL 33972",1721 LOUIS AVE,Fence no permit.,Closed-Violation Created,1
CPL2021-00429,"7260 BRIARCLIFF RD, FORT MYERS FL 33912",7260 BRIARCLIFF RD,garage with attached office another 10X10 building all no permits with extension to home (16ft),Closed-No Violation,0
CPL2021-00430,"7211 REYMOOR DR, NORTH FORT MYERS FL 33917",7211 REYMOOR DR,chicken coupe no permit,Closed-Duplicate Complaint,0
CPL2021-00431,"2419 WOODLAND CIR, FORT MYERS FL 33907",2419 WOODLAND CIR,political sign,Closed-No Violation,0
CPL2021-00432,"2716 WINONA DR, NORTH FORT MYERS FL 33917",2716 WINONA DR,metal roof and wooden fence both installed without permits,Closed-Violation Created,1
CPL2021-00433,"211 RICHMOND AVE S, LEHIGH ACRES FL 33936",211 RICHMOND AVE S,Reference to no permit VI02021-00454Violation No permit for shed,Closed-Non Enforcement,0
CPL2021-00434,"8259 NAULT DR, NORTH FORT MYERS FL 33917",8259 NAULT DR,bright lights shining into neighboring property's windows,Closed-No Violation,0
CPL2021-00435,"8872 BANYAN COVE CIR, FORT MYERS FL 33919",8872 BANYAN COVE CIR,Remodeling without permits.,Closed-No Violation,0
CPL2021-00436,"3402 34TH ST SW, LEHIGH ACRES FL 33976",3402 34TH ST SW,Complaint of debris and several vehicles on property. Not sure if registered or not.,Closed-No Violation,0
CPL2021-00437,"5480 BURNHAM CT, NORTH FORT MYERS FL 33903",5480 BURNHAM CT,85% of windows boarded with occupants,Closed-Non Enforcement,0
CPL2021-00438,"4205 PERTH CT, NORTH FORT MYERS FL 33903",4205 PERTH CT,85% of windows boarded with occupants,Closed-No Violation,0
CPL2021-00439,"18300 LYNN RD, NORTH FORT MYERS FL 33917",18300 LYNN RD,multiple unregistered vehicles front and back / appliances in driveway / commercial dumpster,Closed-Violation Created,1
CPL2021-00440,"332 STOCKTON ST, NORTH FORT MYERS FL 33903",332 STOCKTON ST,The floors are still uneven and now the windows do not open the sealed them shut and used plex glass for some,Closed-Duplicate Complaint,0
CPL2021-00441,"17051 SLATER RD, NORTH FORT MYERS FL 33917",17051 SLATER RD,"Roller Coaster and Basketball Quart on AG with no permits, Needs Rezoning and full DO.",Closed-Violation Created,1
CPL2021-00442,"1203 BERMAR ST, FORT MYERS FL 33913",1203 BERMAR ST,unsafe building / abandoned construction site (RES2019-01662),Closed-Violation Created,1
CPL2021-00443,"275 POE AVE, NORTH FORT MYERS FL 33917",275 POE AVE,Complaint of building mtc- windows may need secured?  Flooring?,Closed-No Violation,0
CPL2021-00444,"3213 42ND ST SW, LEHIGH ACRES FL 33976",3213 42ND ST SW,"lot mow, nuisance accumulation including trash and debris",Closed-Violation Created,1
CPL2021-00445,"807 ERIC AVE N, LEHIGH ACRES FL 33971",807 ERIC AVE N,Three un-working cars sitting along street.,Closed-Violation Created,1
CPL2021-00446,"7633 WINGED FOOT DR, FORT MYERS FL 33967",7633 WINGED FOOT DR,Complaint of chickens on property.  7629 will allow access from the property.,Closed-Violation Created,1
CPL2021-00447,"3108 26TH ST SW, LEHIGH ACRES FL 33976",3108 26TH ST SW,commercial trucks,Closed-Violation Created,1
CPL2021-00448,"7050 WINKLER RD, FORT MYERS FL 33919",7050 WINKLER RD,unit 114 work without permit / occupied without proper firewall and open wiring,Closed-Violation Created,1
CPL2021-00449,"555 CONSTRUCTION LN, LEHIGH ACRES FL 33936",555 CONSTRUCTION LN,"Truck yard constantly parks outside of compound and working on vehicles. Place is a constant eye sore, Tractor trailer, moving van and a black truck that appears to be totaled have been sitting in the same spot for almost a year now would like it moved in side fenced in property or towed",Closed-No Violation,0
CPL2021-00450,"16309 S TAMIAMI TRL, FORT MYERS FL 33908",16309 S TAMIAMI TRL,Complaint of remodeling without permits.,Closed-No Violation,0
CPL2021-00451,"4012 5TH ST SW, LEHIGH ACRES FL 33976",4012 5TH ST SW,trash and debris / in ditch and on lot,Closed-No Violation,0
CPL2021-00452,"1447 SCENIC ST, LEHIGH ACRES FL 33936",1447 SCENIC ST,"House in disrepair, possibly open to the public.",Closed-No Violation,0
CPL2021-00453,"101 AMBER AVE, NORTH FORT MYERS FL 33917",101 AMBER AVE,Complaint of rv on property and several vehicles.,Closed-Violation Created,1
CPL2021-00454,"5204 BYGONE ST, LEHIGH ACRES FL 33971",5204 BYGONE ST,semi truck parked on property,Closed-Violation Created,1
CPL2021-00455,"8523 STRINGFELLOW RD, SAINT JAMES CITY FL 33956",8523 STRINGFELLOW RD,nuisance and permitted uses / containers and a bunch of debris on vacant lot,Closed-Violation Created,1
CPL2021-00456,"7225 SANIBEL BLVD, FORT MYERS FL 33908",7225 SANIBEL BLVD,"Unit #45 BEING OCCUPIED WITHOUT AN OCC. In another unit someone is living/staying overnight, built a bathroom in the garage.",Closed-No Violation,0
CPL2021-00457,"200 DERWENT BLVD, FORT MYERS FL 33908",200 DERWENT BLVD,Unit 154 Adrianne- no permit for enclosed porch,Closed-No Violation,0
CPL2021-00458,"4751 CURLEW DR, SAINT JAMES CITY FL 33956",4751 CURLEW DR,Demo/construction has started on trailer with no permits and unlicensed contractors,Closed-No Violation,0
CPL2021-00459,"4314 1ST ST SW, LEHIGH ACRES FL 33976",4314 1ST ST SW,"This lot is severely overgrown, it has not been maintained for over 15 years! it is a hazard to adjoining properties with animals living in it and the lack of a clear view for security purposes> Thank you for your time in this manner.Greg Wilsongjwil62@aol.com239-810-4486",Closed-No Violation,0
CPL2021-00460,"3714 13TH ST SW, LEHIGH ACRES FL 33976",3714 13TH ST SW,A/C air handler and compressor replaced w/o permit by unlicensed contractor,Closed-Violation Created,1
CPL2021-00461,"1437 ALWYNNE DR N, LEHIGH ACRES FL 33936",1437 ALWYNNE DR N,"light on front of house going into neighboring propertys house/windows, house effected is 1440",Closed-No Violation,0
CPL2021-00462,"211 KINGFISHER DR, UPPER CAPTIVA FL NA",211 KINGFISHER DR,Complaint of remodeling without permits.,Closed-Violation Created,1
CPL2021-00463,"4604 SEMINOLE ST, FORT MYERS FL 33905",4604 SEMINOLE ST,There is a white SUV in the driveway that has been nonoperational for more than a month.  The tag is expired as of 3/2020,Closed-Violation Created,1
CPL2021-00464,"4546 SEMINOLE ST, FORT MYERS FL 33905",4546 SEMINOLE ST,There was a fire at this property months ago.  There is still a burned out vehicle in the driveway and the exterior needs to be cleaned up.,Closed-Violation Created,1
CPL2021-00465,"10240 ANGUS LN, FORT MYERS FL 33905",10240 ANGUS LN,"There are jet ski, cars, mobile home, and 2-modular buildings on the property that are an eyesore to the area.  Broken down with no permit boards or tags on the vehicles",Closed-Violation Created,1
CPL2021-00466,"17600 FRANK RD, ALVA FL 33920",17600 FRANK RD,clearing land no permit,Closed-Violation Created,1
CPL2021-00467,"740 HOLMES AVE, LEHIGH ACRES FL 33974",740 HOLMES AVE,Unregistered vehicle,Closed-No Violation,0
CPL2021-00468,"730 RANDALL AVE, LEHIGH ACRES FL 33974",730 RANDALL AVE,Complaint of possibly running a business/ unregistered cars.,Closed-Violation Created,1
CPL2021-00469,"722 RANDALL AVE, LEHIGH ACRES FL 33974",722 RANDALL AVE,Unregistered vehicle- out of date.,Closed-No Violation,0
CPL2021-00470,"724 RANDALL AVE, LEHIGH ACRES FL 33974",724 RANDALL AVE,Complaint of abandoned boat.,Closed-Duplicate Complaint,0
CPL2021-00471,"7253 HIBISCUS AVE, BOKEELIA FL 33922",7253 HIBISCUS AVE,Complaint of debris- wood piles on property.  Stated never picked up from previous complaint.,Closed-Violation Created,1
