Key Field,STATUS,Case Type,CLOSED,ASSIGNED_TO,PREFIX,Case Sub Type,Address,city,state,zip,MAIN_TABLE_TYPE,MAIN_TABLE_SUBTYPE,MAIN_TABLE_STATUS,COORD_X,COORD_Y,LAT,LON,GIS_SITE_GEO_TYPE,GIS_SITE_ALTERNATE_ID
STRV20-020,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,1034 Straight Creek DR (CR 58),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-022,COMPLAINT FILED,SHORT TERM RENTAL,43942,Don Bantam,STRV,,36 Bashore CT (CR 1276),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-024,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,42 Charter Ridge CT (CR 538),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-025,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,96 Moonstone RD (CR 502),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-030,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,478 N Fuller Placer RD (CR 560,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-031,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,529 Piney Acres CIR (CR 77),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-032,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,580 Delaware DR (CR 301),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-034,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,225 CR 503,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-035,COMPLAINT FILED,SHORT TERM RENTAL,44022,Tanya Shattuck,STRV,,320 Gold King WAY (CR 779),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-036,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,568 Lake View CIR W (CR 970),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-037,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,53 Last Chance LN (CR 166),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-038,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,14 Dunkin DR (CR 521),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-040,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,23227 Barbour DR (CR 197),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-042,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,51 Meadow DR (CR 129),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-043,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,22784 Us Hwy 6,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-045,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,56 Salt Lick CT (CR 1264),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-048,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,548 Beeler PL (CR 1194),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-050,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,86 Climax DR (CR 124),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-051,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,91 Burro LN (CR 922),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-052,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,313 Camron LN (CR 865),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-053,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,588 Alpine RD (CR 56),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-054,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,66 Sitzmark CIR (CR 903),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-057,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,909 American WAY (CR 906),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-058,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,496 N Fuller Placer RD (CR 560,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-059,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,96 Climax DR (CR 124),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-060,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,161 Shekel LN (CR 403),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-061,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,242 Elk Crossing LN (CR 180),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-062,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,21680 Us Hwy 6,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV21-001,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,50 N Fuller Placer RD (CR 560),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV21-002,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,22714 Us Hwy 6,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV21-003,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,1369 Royal Buffalo DR (CR 1240,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV21-004,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,28 Illinois Gulch RD (CR 518),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV21-005,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,203 Lone Hand WAY (CR 917),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
VIO08-007,SENT TO LEGAL,DWELLINGS VIOLATIONS,42066,Katie Kent,VIO,Violation,494 Four Oclock Run Rd 708,SC,CO,,DWELLINGS VIOLATIONS,Violation,SENT TO LEGAL,,,,,PARCEL,
VIO10-016,SENT TO LEGAL,DWELLINGS VIOLATIONS,40745,Katie Kent,VIO,ACC APARTMENT,389 REVETTE DR,County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,SENT TO LEGAL,,,,,PARCEL,
VIO10-025,SENT TO LEGAL,DWELLINGS VIOLATIONS,40623,Katie Kent,VIO,ACC APARTMENT,73 HIGHWOOD TER,County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,SENT TO LEGAL,,,,,PARCEL,
VIO10-026,SENT TO LEGAL,DWELLINGS VIOLATIONS,40613,Katie Kent,VIO,ACC APARTMENT,228 SNOWSHOE CIR,County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,SENT TO LEGAL,,,,,PARCEL,
VIO10-030,COMPLAINT FILED,DWELLINGS VIOLATIONS,41852,Kristin Dean,VIO,ACC APARTMENT,149 CARTIER CT,County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO12-016,,,40980,,VIO,,,,,,,,,,,,,,
VIO13-013,SENT TO LEGAL,DWELLINGS VIOLATIONS,41611,Brian Potts,VIO,LOC RES HOUSE,79 CARTIER CT (CR 101),County,CO,,DWELLINGS VIOLATIONS,LOC RES HOUSE,SENT TO LEGAL,,,,,PARCEL,
VIO13-039,SENT TO LEGAL,DWELLINGS VIOLATIONS,41934,Brian Potts,VIO,ACC APARTMENT,65 HONEYSUCKLE CT (CR 99),County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,SENT TO LEGAL,,,,,PARCEL,
VIO18-033,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,246 Moonstone RD (CR 502),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO18-036,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,452 Doris DR (CR 655),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO18-037,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,135 Honeysuckle CT (CR 99),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO19-015,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,291 Alpine RD (CR 56),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO19-016,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,228 Snowshoe CIR (CR 930),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO19-019,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,142 Idlewild DR (CR 126),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO19-021,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,781 Fairview BLVD (CR 400),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO19-025,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,67 Honeysuckle CT (CR 99),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO20-003,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,289 Two Cabins DR,Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO20-005,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,562 Piney Acres CIR (CR 77),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO20-006,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,1148 Summit DR (CR 121),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO20-011,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,52 Elk Horn LN (CR 505),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO20-012,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,51 Meadow DR (CR 129),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
VIO20-018,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,388 Revett DR (CR 317),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
VIO21-005,COMPLAINT FILED,DWELLINGS VIOLATIONS,,Tanya Shattuck,VIO,ACC APARTMENT,74 Cooper DR (CR 122),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,COMPLAINT FILED,,,,,PARCEL,
