ASSIGNED NAME,Case Number,Opened Date,Address,Status,Description
Gerardo Jimenez,CV20201229211,8/12/2020,7811 Sycamore Dr,Open,"R/P said that her balcony and others are presumably unsafe and ""squish"" under her feet and appears unstable. She mentioned that the maintenance or construction guys out there, presumably working on the roof, told her they would go out on the balcony, and she asked them if they were going to fix the balcony issues, and they said the only wanted them to fix the noticeable things. #364583"
Gerardo Jimenez,CV20200377220,8/19/2020,16802 Leafwood Cir,Open,"Stucco work, window replacement, and plumbing with no permits."
Gerardo Jimenez,CV20200096519,8/26/2020,4891 Pearce Dr,Open,"My landlord Paul koursharian isn�t negligent to this property. Where I reside. I have mold in my home, termites outside & inside, and my water heater blew out over the weekend and it took him 2 days to come out and fix the problem. MyHB #373070"
Gerardo Jimenez,CV20200409220,9/18/2020,7922 Liberty Dr,Open,"The house has several discarded items in the driveway area. Inoperable vehicles in the driveway, several discarded bike frames in the rear. The garage area has stucco damage.#389444"
Gerardo Jimenez,CV20200410220,9/18/2020,17685 Beach Blvd,Open,"The driveway is dilapidated. There are several vehicles being stored on the parking lot to the rear of the property. Exposed electrical wiring on the south side of the property, and recessed lighting installed over the entrance to the nail salon."
Gerardo Jimenez,CV20200433220,10/9/2020,7942 Aldrich Dr,Open,Unit #2 had a fire a couple of days ago. Building department is reporting substandard conditions.
Gerardo Jimenez,CV20201676211,10/12/2020,17381 Koledo Ln,Open,"I would like to report my neighbor Daniel he leaves big bags of trash and cans every night besides our car and leaves his cart with trash and bottles under our stair case . The smell is horrendous. We have reported this to our apartment manager but they do nothing also his garage is filled up with bags of trash and cans reaching to the top , we are scared that it can be a danger hazard since our apartment is on top of his garage, they�re also lots of rodents because of this . We are getting really tired of them smell and noise really late at night, he doesn�t stop until 12am . It�s getting really ridiculous. I would like to stay anonymous#404162"
Gerardo Jimenez,CV20201799211,10/23/2020,16761 Viewpoint Ln,Open,"P1 Fire hazard faulty wiring, light switches are shorting out, stove vent is not installed properly (taped on), there is also mold. There are lots of issues with the whole complex #413424"
Gerardo Jimenez,CV20200446220,10/30/2020,17412 Jacquelyn Ln,Open,"Vendor without a permit. Missing water heater fixture, graffiti, damaged fascia boards above Unit #4. Missing patio lighting."
Gerardo Jimenez,CV20200447220,10/30/2020,17422 Jacquelyn Ln,Open,"Faulty water heater. disconnected. Graffiti, and holes iin the laundry room."
Gerardo Jimenez,CV20200212257,11/19/2020,7222 Heil Ave,Open,"Furnace not working properly, smells like gas leak."
Gerardo Jimenez,CV20200467220,11/25/2020,17372 Queens Ln,Open,Remodel in the bathroom of Unit #4 without a permit.
Gerardo Jimenez,CV20200474220,12/9/2020,7782 Barton Dr,Open,Dead vegetation. Improper weather protection. Discarded furniture
Gerardo Jimenez,CV20200477220,12/10/2020,17382 Queens Ln,Open,dilapidated driveway .Extension cord going from the laundry room to the garage. Discarded furniture. graffiti.
Gerardo Jimenez,CV20202260211,12/14/2020,8272 Slater Ave,Open,"The tenants of the address 8272 Slater Avenue Apt. A, Huntington Beach has a backyard and front yard that is an eyesore property to the community.#482910 -There is a large unpermitted additional room that covers the entire backyard, -There is unpermitted fence that is around 20 feet high in the backyard. -There is also a covered patio that covers the entire pathway next to the apartment 8262 Slater Avenue, Huntington Beach. -The stairway in front of the building 8272 Slater Avenue Apt.A is obstructed and covered by black plant containers by the tenants of 8272 Slater Ave Apt. A, which makes the width of the stairs shorter to around 24 inches. This does not meet the code required width (36 inches). This is unsafe and can cause injury by tripping. The above matter is an eyesore and looks dirty and unsanitary to the community. Please enforce ASAP."
Gerardo Jimenez,CV20202260211,12/14/2020,8272 Slater,Open,"The tenants of the address 8272 Slater Avenue Apt. A, Huntington Beach has a backyard and front yard that is an eyesore property to the community.#482910 -There is a large unpermitted additional room that covers the entire backyard, -There is unpermitted fence that is around 20 feet high in the backyard. -There is also a covered patio that covers the entire pathway next to the apartment 8262 Slater Avenue, Huntington Beach. -The stairway in front of the building 8272 Slater Avenue Apt.A is obstructed and covered by black plant containers by the tenants of 8272 Slater Ave Apt. A, which makes the width of the stairs shorter to around 24 inches. This does not meet the code required width (36 inches). This is unsafe and can cause injury by tripping. The above matter is an eyesore and looks dirty and unsanitary to the community. Please enforce ASAP."
Gerardo Jimenez,CV20200480220,12/15/2020,8262 Slater Ave,Open,Unpermitted awning. unpermitted fence extension.#484716
Gerardo Jimenez,CV20210044211,1/6/2021,17541 Jefferson Ln,Open,Drainage issues with the driveway. When it rains it drains right into the garage and floods it. #497432
Gerardo Jimenez,CV2021-18381,3/24/2021,,Open,SE corner lot on Beach and Terry is an eyesore with weeds and political signs
Gerardo Jimenez,CV2021-18381,3/24/2021,16742 Beach Blvd,Open,SE corner lot on Beach and Terry is an eyesore with weeds and political signs
Gerardo Jimenez,CV2021-18383,3/24/2021,8262 Slater Ave,Open,"The tenants of 8262 Slater Ave Apt. B, Huntington Beach have constructed the following unpermitted: 1) One-story detached accessory structure (additional room): Approx. 150 SQFT Behind the garage. The tenant is renting out the unpermitted added room to 2 other people to live in. 2) Unpermitted Wood Cover Patio on the east side of the property next to the address 8272 Slater Ave Apt A. It covers the entire pathway. This is unsafe and an eyesore and should be enforced immediately."
Gerardo Jimenez,CV2021-18401,3/25/2021,7582 Warner Ave,Open,"Always parking in and blocking the fire lane with his vehicle. When he is gone, he puts out cones in the fire lane to save his spot. R/p has contacted PD and Fire previously, it is an ongoing issue that has not been fixed. Has had confrontations in the past."
Gerardo Jimenez,CV2021-18419,3/26/2021,17392 Queens Ln,Open,"Accumulation of trash, junk and debris."
Gerardo Jimenez,CV2021-18490,3/30/2021,17441 Keelson Ln,Open,"Homeless people are using the property to shower outside, use illegal drugs and commit illegal crimes. They are sleeping on property and storing items. Property appears to be abandoned. There are no lights on property making it dark and easy access for homeless to live there and use the bathroom in public. MyHB #507889"
Gerardo Jimenez,CV2021-18491,3/30/2021,16732 Irby Ln,Open,P1- Hoarding. Health and Safety issues exist inside of the home creating an unsanitary condition and health risk to the homeowner.
Gerardo Jimenez,CV2021-18449,3/30/2021,7741 Cypress Dr,Open,Improper weather protection.
Gerardo Jimenez,CV2021-18523,3/31/2021,17421 Jacquelyn Ln,Open,"Graffiti on the garage doors, trash bins are overfilled with trash, and several discarded items located on the property."
Gerardo Jimenez,CV2021-18523,3/31/2021,17421 Jacquelyn Ln,Open,"Graffiti on the garage doors, trash bins are overfilled with trash, and several discarded items located on the property."
Gerardo Jimenez,CV2021-18523,3/31/2021,17421 Jacquelyn Ln,Open,"Graffiti on the garage doors, trash bins are overfilled with trash, and several discarded items located on the property."
Gerardo Jimenez,CV2021-18523,3/31/2021,17421 Jacquelyn Ln,Open,"Graffiti on the garage doors, trash bins are overfilled with trash, and several discarded items located on the property."
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18524,4/1/2021,8462 Slater Ave,Open,Two vehicles continuously parking in the fire lane and obstructing traffic. There may be people living in the garage as voices and loud music can be heard coming out of them at night.
Gerardo Jimenez,CV2021-18525,4/1/2021,8152 Opal Cir,Open,"Sleeping in the garage, mold, and junk in unit B."
Gerardo Jimenez,CV2021-18603,4/6/2021,7771 Mandrell Dr,Open,
Gerardo Jimenez,CV2021-18603,4/6/2021,7771 Mandrell Dr,Open,
Gerardo Jimenez,CV2021-18603,4/6/2021,7771 Mandrell Dr,Open,
Gerardo Jimenez,CV2021-18603,4/6/2021,7771 Mandrell Dr,Open,
Gerardo Jimenez,CV2021-18625,4/7/2021,17221 Beach Blvd,Open,Graffiti on fencing
Gerardo Jimenez,CV2021-18626,4/7/2021,17221 Beach Blvd,Open,Graffiti on fencing
Gerardo Jimenez,CV2021-18627,4/8/2021,7842 Speer Dr,Open,"Next door to 7852, they're using a chainsaw to cut down a tree at 8am 9am today Sunday 12/06/20. Chainsaw is above the decibel rating for noise in this area. Then the tree limbs land with a big bang on the ground.#469498"
Gerardo Jimenez,CV2021-18640,4/8/2021,7715 Newman Ave,Open,"New construction inside of the unit. Vent fan over the stove, hole cut in the drywall, and recessed lighting."
Gerardo Jimenez,CV2021-18641,4/8/2021,8207 Talbert Ave,Open,"On the corner of Newman and Van Buren by the back the the cemetery and hospital parking lot- Lizzy's Food truck comes everyday and creates hazards. They are leaving littered food, and surgical masks from the hospital staff and not cleaning up their messes. The littered food is attracting animals at night. They are running a gas generator to the tuck which creates horrible fumes for the residential area across the street, fumes made r/p's wife sick. It is attracting traffic hazards as people will double park on the street. R/P witnessed a garbage truck double park and leave the engine running while getting food. Truck was asked to move down the road before but has since moved back to this current location. r/p would like contact"
Gerardo Jimenez,CV2021-18641,4/8/2021,8207 Talbert Ave,Open,"On the corner of Newman and Van Buren by the back the the cemetery and hospital parking lot- Lizzy's Food truck comes everyday and creates hazards. They are leaving littered food, and surgical masks from the hospital staff and not cleaning up their messes. The littered food is attracting animals at night. They are running a gas generator to the tuck which creates horrible fumes for the residential area across the street, fumes made r/p's wife sick. It is attracting traffic hazards as people will double park on the street. R/P witnessed a garbage truck double park and leave the engine running while getting food. Truck was asked to move down the road before but has since moved back to this current location. r/p would like contact"
Gerardo Jimenez,CV2021-18662,4/9/2021,16692 Dolores Ln,Open,"The reporting party stated they can hear rats in the walls, and that the rats have died and the apartment is starting to smell."
Gerardo Jimenez,CV2021-18662,4/9/2021,16692 Dolores Ln,Open,"The reporting party stated they can hear rats in the walls, and that the rats have died and the apartment is starting to smell."
Gerardo Jimenez,CV2021-18662,4/9/2021,16692 Dolores Ln,Open,"The reporting party stated they can hear rats in the walls, and that the rats have died and the apartment is starting to smell."
Gerardo Jimenez,CV2021-18662,4/9/2021,16692 Dolores Ln,Open,"The reporting party stated they can hear rats in the walls, and that the rats have died and the apartment is starting to smell."
Gerardo Jimenez,CV2021-18754,4/16/2021,17192 Elm Ln,Open,Illegal dumping on the front lawn of the property.
Gerardo Jimenez,CV2021-18756,4/16/2021,8391B Warner Ave,Open,"There are several discarded items in the parking lot behind the home. They are renovating one of the units without a permit, and there are dead trees outside of the home."
Gerardo Jimenez,CV2021-18756,4/16/2021,8391 Warner Ave,Open,"There are several discarded items in the parking lot behind the home. They are renovating one of the units without a permit, and there are dead trees outside of the home."
Gerardo Jimenez,CV2021-18756,4/16/2021,8391 Warner Ave,Open,"There are several discarded items in the parking lot behind the home. They are renovating one of the units without a permit, and there are dead trees outside of the home."
Gerardo Jimenez,CV2021-18756,4/16/2021,8391 Warner Ave,Open,"There are several discarded items in the parking lot behind the home. They are renovating one of the units without a permit, and there are dead trees outside of the home."
Gerardo Jimenez,CV2021-18945,4/29/2021,17401 Keelson Ln,Open,P1-Property has rats and rodents. Tenant is concerned about retaliation from owner
Gerardo Jimenez,CV2021-18945,4/29/2021,17401 Keelson Ln,Open,P1-Property has rats and rodents. Tenant is concerned about retaliation from owner
Gerardo Jimenez,CV2021-18945,4/29/2021,17401 Keelson Ln,Open,P1-Property has rats and rodents. Tenant is concerned about retaliation from owner
Gerardo Jimenez,CV2021-18945,4/29/2021,17401 Keelson Ln,Open,P1-Property has rats and rodents. Tenant is concerned about retaliation from owner
Gerardo Jimenez,CV2021-18956,4/29/2021,8232 Slater Ave,Open,"The house at 8232 Slater is deteriorating and requires attention. Unit A has been vacant for the past two years, and the windows are covered with a white plastic sheet. There is a large hole in the ceiling above Unit A. The stairs are leaning, the steps and rails are rotting. The fascia boards around the property lack paint protection and they are rotting. There is also an inoperable vehicle in the rear."
Jimmy Hoang,CV20140011255,3/6/2014,16651 Bolero Ln,Open,Second story deck is collapsing on solarium 5/2019: Unpermitted solarium? hoarding situation? property maintenance
Jimmy Hoang,CV20150725305,8/13/2015,17812 Metzler Ln,Open,"Unpermitted electrical work, panel upgrade, new transformer & welding equipment. They applied for a building permit E2012-004121, however they CANCELLED it. The C/P advised that his business keeps experiencing ""dips"" in their electricity."
Jimmy Hoang,CV20150056255,12/18/2015,15702 Producer Ln,Open,construction w/o valid building permit
Jimmy Hoang,CV20170384208,4/20/2017,16220 Pacific Coast Hwy,Open,"Pacific View Inn & Suites- built unper. room downstairs next to office, has a window."
Jimmy Hoang,CV20170070519,8/21/2017,19142 Beach Blvd,Open,New tenants conducting illegal modifications to interior of unit #Y
Jimmy Hoang,CV20180014305,1/9/2018,7781 Garfield Ave,Open,"Unpermitted mobile office trailer in rear parking lot, 3 unpermitted storage sheds."
Jimmy Hoang,CV20180014305,1/9/2018,2000 main,Open,"Unpermitted mobile office trailer in rear parking lot, 3 unpermitted storage sheds."
Jimmy Hoang,CV20180027519,5/23/2018,19812 Lexington Ln,Open,Unpermitted enclosure at rear of property with possible electrical service
Jimmy Hoang,CV20180029519,6/6/2018,7141 Garfield Ave,Open,Possibly living in commercial unit
Jimmy Hoang,CV20180709208,8/27/2018,1979 Carmania Ln,Open,new wall construction- no permit
Jimmy Hoang,CV20180125203,10/30/2018,10371 Oronsay Cir,Open,living in garage
Jimmy Hoang,CV20190017519,2/20/2019,117 Walnut Ave,Open,Interior remodel without permits (new tankless water heater)? the property is a legal duplex with a non-permitted conversion of a garage into a 1-bedroom apartment MyHB #141750 MyHB #141750
Jimmy Hoang,CV20190018519,2/20/2019,121 Walnut Ave,Open,Interior remodel without permits (new tankless water heater)? the property is a legal duplex with a non-permitted conversion of a garage into a 1-bedroom apartment MyHB #141753
Jimmy Hoang,CV20190023254,4/1/2019,403 10th St,Open,"Construction without permits, added stairs, house in rear has expired permits, accessory structure setback violation, short term vaction rental."
Kenneth Waldecker,CV20180036254,7/12/2018,2881 Coast Cir,Open,Converted crawl space into workshop without permits.
Kenneth Waldecker,CV20180050254,9/6/2018,2881 Coast Cir,Open,Crawlspace alterations made without permits.
Kenneth Waldecker,CV20190263305,4/4/2019,5062 Sparrow Dr,Open,"Neglected front yard, inoperable car in driveway. MyHB # 150537"
Kenneth Waldecker,CV20190329305,4/18/2019,19081 Stingray Ln,Open,"Car lift in backyard, running car repair business out of residence. MyHB# 153409"
Kenneth Waldecker,CV20190457305,5/16/2019,425 13th St,Open,"Lots of cables dangling on the outside walls, some look dangerous. Exterior of apartment building looks run down and not kept up. Also side on 13th Street is paved such that they park on that section right outside next to the sidewalk. MyHB # 159794"
Kenneth Waldecker,CV20190491305,5/28/2019,605 Main St,Open,STR with unpermitted garage conversion reported previously.
Kenneth Waldecker,CV20190504305,5/30/2019,9071 Rhodesia Dr,Open,Deplorable living conditions for humans and pets. ~ MyHB 208144
Kenneth Waldecker,CV20190531305,6/7/2019,5831 Liege Dr,Open,"Hoarders with 2 inop vehicles. House is in severe disrepair, garage full to ceiling, junk on both sides of house, gates dont work, back yard full of weeds. C/P believes possible fire hazard and emergencye responders would not be able to enter house. MyHB # 164716"
Kenneth Waldecker,CV20190601305,6/24/2019,5312 Production Dr,Open,"Neighboring Properties have been abandoned &/or not maintained, and weeds, trash & wildlife have taken over. Fire & Safety Hazard. MyHB # 168145"
Kenneth Waldecker,CV20190670305,7/8/2019,15291 Shasta Ln,Open,"weeds, dry grass, brush, and litter all around his house and now there is a foul smell coming from the right side of the house that faces my home. He has a pond that does not seem to be working. MyHB # 171976"
Kenneth Waldecker,CV20190328211,7/9/2019,3838 Humboldt Dr,Open,"**P2 response** Dock has been deteriorating for the last year. Last week the dock flipped over and chunks of foam from the dock are breaking off into the harbor and main channel. R/P is so concerned about dock possibly snapping off, damaging their boat . R/P is going to move it elsewhere temporarily. *violation of HBZSO 245.06- Permit Required* myhb#172347"
Kenneth Waldecker,CV20190473218,7/22/2019,6531 Woodside Cir,Open,Multiple fruit trees not taken care of. Several mice &fruit flies feeding off the fruit not picked. A lot of rotting fruiting falling to the ground. Overgrown fig tree in front. Overgrown orange tree in back. Over grown tree hanging into sidewalk MyHB# 174987
Kenneth Waldecker,CV20190479218,7/23/2019,14872 Oaktree Cir,Open,Neglected/ needs attention. Overgrown weeds & overgrown yard MyHB# 175641
Kenneth Waldecker,CV20190480218,7/23/2019,14892 Oaktree Cir,Open,Needs attention badly. Neglected weeds in driveway pavers. Never put away trash or trashcans. Overgrown yard MyHB# 175644
Kenneth Waldecker,CV20190393211,8/1/2019,15329 Pipeline Ln,Open,No Cert. of Occupancy myHB#177935
Kenneth Waldecker,CV20190023216,8/5/2019,16910 N Pacific Ave,Open,"Mold and Asbestos in rental unit. Single family dwelling converted into 2 separate units. Tenant is in Hospital due to ""mold"" in unit. Tenant being evicted and has certified reports indicating mold in house. MYHB #178892"
Kenneth Waldecker,CV20190594218,8/26/2019,3782 Humboldt Dr,Open,ugly structure in public view in backyard less than 5ft from sidewalk property line. not-permitted myHB# 184254
Kenneth Waldecker,CV20190608218,8/29/2019,14481 Danes Cir,Open,"There is a 2 story permanent structure that the homeowner built himself in the backyard within 2 feet of the concrete wall, which is less then the required setback and I am worried there are safety issues considering it�s wired for electricity and wasn�t permitted. MyHB# 185103 & MyHB # 186359"
Kenneth Waldecker,CV20190674218,9/16/2019,16769 Hoskins Ln,Open,16771 Hoskins is an illegal ADU being rented out and posted on trulia.com as a rental for $1200 monthly MyHB# 189432 & MyHB# 189657
Kenneth Waldecker,CV20190598211,9/17/2019,16762 Lynn Ln,Open,STVR- r/p wpould like update . PER RP Complaint was for illegally divided unit not STVR. myhb#189852
Kenneth Waldecker,CV20190039216,10/14/2019,6142 Cornell Dr,Open,Unpermitted construction. Window and stucco installed without permits. Building Inspector unable to make contact with worker or contractor.
Kenneth Waldecker,CV20190679211,10/17/2019,6942 Lydia Dr,Open,P1 Garage Living myhb#197329
Kenneth Waldecker,CV20190839218,10/23/2019,16531 Torjian Ln,Open,3 sheds lined up next to wall of r/ps property. Middle shed blocks dining room window MyHB 200006
Kenneth Waldecker,CV20190690211,10/24/2019,16661 Pacific Coast Hwy,Open,"Stop n Wash car wash- Possible unpermitted fans installed. Very loud, going 24/7 even at night. One of the fans caught fire the week of 10/13/19. Near residential properties and r/p is worried another fan may catch fire. R/p also concerned about he uncontained dog wash area also on property, thinks it could be a safety issue. myhb#200283"
Kenneth Waldecker,CV20190843218,10/24/2019,3501 Venture Dr,Open,Very green pool (with mosquitos) MyHB 200428
Kenneth Waldecker,CV20190041216,10/31/2019,16440 Martin Ln,Open,"Common area loft/patio space converted from storage into a social area ""loft"" without permits. Water leak on bridge connecting area to staircase. Staircases locked to bridge and loft area."
Kenneth Waldecker,CV20190726211,11/8/2019,4072 Morning Star Dr,Open,Unpermitted dock encroaches onto wharfage area? work done without City permits myhb#206414 ***City Council Member Inquiry***
Kenneth Waldecker,CV20190743211,11/14/2019,16771 Green Ln,Open,"Fire concerns regarding old cypress trees, located behind the property on Green Lane. Trees are dried and dead and can potentially catch on fire. Possible unpermitted patio and deck cover. myhb#208420"
Kenneth Waldecker,CV20190931218,12/2/2019,15312 Cascade Ln,Open,Neighbor has chickens & rooster that crows every morning early MyHB 214281
Kenneth Waldecker,CV20190944218,12/9/2019,16282 Golden Gate Ln,Open,"house is falling apart. Gates to the backyard are not there and they have a pool- dangerous! Although, this house doesnt have pool water just rain water with mosquitoes. All neighbors have a rat/mice problem and feel it is coming from this location. MyHB 216777"
Kenneth Waldecker,CV20200002218,1/2/2020,6401 Warner Ave,Open,Bathroom mold MyHB 225754 & MyHB 225751
Kenneth Waldecker,CV20200003216,1/21/2020,15272 Newsboy Cir,Open,Deteriorated blockwall abutting 15302 Cambay Lane. MyHB #235368
Kenneth Waldecker,CV20200073218,1/28/2020,6142 Christy Dr,Open,"Owner of this property has unpermitted shed in backyard he rents out to multiple people. Also has every single room of the house rented out to different people. Resulting in 10 cars that occupy this location? some of which park on the lawns. ""an AirBnB circus"" MyHB 239080"
Kenneth Waldecker,CV20200089218,2/3/2020,6111 Priscilla Dr,Open,"extreme eyesore in the front yard. Grass completely overgrown (Its 1 tall of clover &weeds), the garage door will not close due to it being dilapidated and the walkway to the house is almost not visible due to the extreme overgrowth of the clover and weeds. I have seen rats and mice crawling up the outside stucco walls to go into the attic vents. The paint is in horrible condition and peeling off of the walls and trim. MyHB 241363"
Kenneth Waldecker,CV20200238218,3/6/2020,16642 Wanderer Ln,Open,"BOAT DOCK EXTENSION MODIFICATION, CONNECTED TO THE SEA WALL WITHOUT A PERMIT. ATTACHED IS A PHOTO PRIOR TO THE MODIFICATION. THIS MODIFICATION WAS COMPLETED IN LATE OCTOBER 2018 WITHOUT A PERMIT REQUIRED BY THE CITY OF HUNTINGTON BEACH, AND POSES A SAFETY AND ENVIRONMENTAL HAZARD. REQUEST YOU ENTER THE SIDE GATE OF THE PROPERTY AND INSPECT. MyHB 260785"
Kenneth Waldecker,CV20200112211,3/10/2020,16791 Bayview Dr,Open,Unpermitted Dock Repair with Public Works Permit myhb#262611
Kenneth Waldecker,CV20200020216,3/19/2020,16854 Bayview Dr,Open,Unpermitted dock constructed at property. MyHB#268253.
Kenneth Waldecker,CV20200020216,3/19/2020,16854 Bayview Dr,Open,Unpermitted dock constructed at property. MyHB#268253.
Kenneth Waldecker,CV20200023216,3/26/2020,6872 Bridgewater Dr,Open,This property has had unfinished construction/house remodeling for over a year. The front window has unfinished front exterior with exposed insulation and unfinished stucco underlayment material for over a year. The owners state that they will get the work done but it has never happened. The front year is a patch of dirt/rocks where they removed the lawn (now below grade) with construction cones. This has also been like this for over a year. MyHB##271301.
Kenneth Waldecker,CV20200274218,3/31/2020,15432 Hanover Ln,Open,"Free Lance Masonry is parking commercial truck with equipment & masonry overnight since March 23. Left side of yard & garage is used in connection with business. Pictures of violations attached. Resident has brought commercial truck back after not parking in residential tract for 8 months. Our block is following the stay at home order, with the exception of Free Lance Masonry. He is continuing to park overnight & operating from residence daily. Truck is a eye sore,old,dirty & noisy, disrupting our quiet tract. Today resident left old diesel truck unattended running from 7-7:25 am before departing.Its difficult enough to stay home and isolate for weeks and this code violation adds more to the difficulty. MyHB 273838"
Kenneth Waldecker,CV20200028216,4/6/2020,15392 Bayside Ln,Open,Over sized shed with people living in it. MyHB #276594
Kenneth Waldecker,CV20200170211,4/23/2020,6802 Shannon Dr,Open,"230.88, Fences or walls exceeding 42 inches in height may not be located in the required front yard, Front property line wall exceeds max height. Work completed. No permits. Notes from Building (Jeff Erickson): OBSERVED NEW BLOCK WALLS, SOME BELOW 42 IN. / SOME ABOVE 42""TALL AT DRVWY , LOOKS AS THOUGH WALL CONTINUES ON TO BACK YARD AT 6 FT. JOB COMPLETED AND ALL CLEANED UP. NO CONTRACTOR/WORKERS REFER TO CODE NFORCEMENT. JE (PHOTOS TAKEN)"" #281566"
Kenneth Waldecker,CV20200269211,5/4/2020,16355 Maruffa Cir,Open,"Abandoned house with unfinished swimming pool full of water that breeds mosquitos. Possible rat infestation, grass growing everywhere. Poses health dangers to the area.#291129"
Kenneth Waldecker,CV20200060216,5/7/2020,6792 Shannon Dr,Open,"230.88, Fences or walls exceeding 42 inches in height may not be located in the required front yard, Front property line wall exceeds max height. Work completed. No permits. Notes from Building (Jeff Erickson): OBSERVED NEW BLOCK WALLS, SOME BELOW 42 IN. / SOME ABOVE 42""TALL AT DRVWY , LOOKS AS THOUGH WALL CONTINUES ON TO BACK YARD AT 6 FT. JOB COMPLETED AND ALL CLEANED UP. NO CONTRACTOR/WORKERS REFER TO CODE NFORCEMENT. JE (PHOTOS TAKEN)"" #294021"
