Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
3/11/2021,CE21-0184,Enforcement Case,"2432 TEDESCHI DR, SANTA ROSA CA 95403",ECO- Police call out with garage conversion done no permits,BRNP - building residential no permit,In Progress,
3/10/2021,CE21-0183,Enforcement Case,"2009 SAN MIGUEL RD, SANTA ROSA CA 95403",Large tree branch looks ready to fall onto the road,ZRM - Residential Miscellaneous,Investigate,
3/10/2021,CE21-0182,Enforcement Case,"1015 CENTER DR, SANTA ROSA CA 95403",Homeless encampment being established on both public and private parcels,"ZCTD - Commercial Trash & Debris, Homeless Encampment",Investigate,
3/10/2021,CE21-0181,Enforcement Case,"334 OHAIR CT, SANTA ROSA CA 95407","Motorhomes, trailers and cars being worked on daily, garbage piling up and people living in trailers",Homeless Encampment,Closed,
3/10/2021,CE21-0180,Enforcement Case,"1618 MARIPOSA DR, SANTA ROSA CA 95405",Large amounts of sudsy water coming from the side of the house next to the creek,ECR - Environmental Crime Residential,Investigate,
3/10/2021,CE21-0179,Enforcement Case,"2748 DESERT ROSE LN, SANTA ROSA CA 95407",Illegal dumping of old furniture in side strip,ZRTD - Residential Trash & Debris,Investigate,
3/10/2021,CE21-0178,Enforcement Case,"2312 CLAIBORNE CIR, SANTA ROSA CA 95403",Vehicle parking in the landscaped front yard,ZRVS - Residential Vehicular,Investigate,
3/10/2021,CE21-0177,Enforcement Case,"131 COLGAN AVE, 1005, SANTA ROSA CA 95404","CO2 leak, smoke, faulty vents, lifting sidewalk",HRS - Substandard Residential,Investigate,
3/8/2021,CE21-0176,Enforcement Case,"831 PRESSLEY ST, SANTA ROSA CA 95404",Graffiti on fence,GRAF - Graffiti,Investigate,
3/8/2021,CE21-0175,Enforcement Case,"2083 COOPER DR, SANTA ROSA CA 95404",Residences have not had garbage pick up for a month and are storing garbage in bags in their backyard,ZRTD - Residential Trash & Debris,In Progress,
3/4/2021,CE21-0174,Enforcement Case,"1396 SANTA ROSA AVE, SANTA ROSA CA 95404","Possible indoor operation, no masks",COVID - Indoor Operation,Investigate,
3/4/2021,CE21-0173,Enforcement Case,"3441 CLEVELAND AVE, SANTA ROSA CA 95403",Restaurant not enforcing social distancing,COVID - Indoor Operation,Investigate,
3/3/2021,CE21-0172,Enforcement Case,"1490 TROMBETTA ST, SANTA ROSA CA 95407",Rooster,ZRA - Residential Animal Violation,Investigate,
3/3/2021,CE21-0171,Enforcement Case,"2437 GADS HILL ST, SANTA ROSA CA 95401",Deck built in backyard w/out benefit of permit(s) encroaches into side/rear yard setbacks and is taller than 8-foot fence.,BRNP - Building Residential No Permit,In Progress,
3/3/2021,CE21-0170,Enforcement Case,"2332 LINWOOD AVE, SANTA ROSA CA 95404",Dog kept outside all day and barks all day disturbing neighbors,ZRA - Residential Animal Violation,Closed,
3/3/2021,CE21-0169,Enforcement Case,"310 YATES DR, SANTA ROSA CA 95405",Vehicle stored in front yard with tarp over it; other vehicles block visibility for neighbors,ZRVS - Residential Vehicular,Investigate,
3/3/2021,CE21-0168,Enforcement Case,"2158 GARDNER AVE, SANTA ROSA CA 95407",People living in the garage,"GC, BRNP - Garage Conversion, Building Residential No Permit",Investigate,
3/3/2021,CE21-0167,Enforcement Case,"1103 TEMPLE AVE, SANTA ROSA CA 95404",Graffiti on fence and mailbox.,GRAF - Graffiti,Closed,
3/1/2021,CE21-0166,Enforcement Case,"305 HARVEST LN, SANTA ROSA CA 95401",structure fire3-1-2021 I did a fire damage inspection of the property and observed primarily light smoke damage throughout the house.  the gas and electrical have been shut off.  No structural damage done.  this house also has substandard conditions throughout,ECO - Emergency Call Out,In Progress,
2/26/2021,CE21-0165,Enforcement Case,"490 ROSEDALE AVE, SANTA ROSA CA 95405",Hedge on north side of property is appx 10 feet tall and impedes visibility for pedestrians and vehicles,ZRM - Residential Miscellaneous,Investigate,
2/26/2021,CE21-0164,Enforcement Case,"2721 SONOMA AVE, SANTA ROSA CA 95405",Large tree branch hanging low over the road,ZRM - Residential Miscellaneous,Investigate,
2/26/2021,CE21-0163,Enforcement Case,"824 SPENCER AVE, 1, SANTA ROSA CA 95404","Black mold in carpet, and on baseboard and wall.",HRS - Substandard Residential,Investigate,
2/25/2021,CE21-0162,Enforcement Case,"500 KAWANA SPRINGS RD, SANTA ROSA CA 95404","New construction causing a buildup of dirt and dust on neighbors' vehicles; crew is spraying some sort of ""white substance.""","ECR, ZRM - Environmental Crime Residential, Residential Miscellaneous",Closed,
2/25/2021,CE21-0161,Enforcement Case,"1583 NORTH ST, SANTA ROSA CA 95404","Resident has put up a large tarp in the rear of the property, very close to neighboring house on Fulkerson.",BRNP - Building Residential No Permit,Investigate,
2/25/2021,CE21-0160,Enforcement Case,"5985 STONE BRIDGE RD, SANTA ROSA CA 95409",Construction/renovation being done without benefit of permit(s),BRNP - Building Residential No Permit,Investigate,
2/25/2021,CE21-0159,Enforcement Case,"1011 HUMBOLDT ST, SANTA ROSA CA 95404",Discarded furniture and other items outside the fence of this residence in the alley.,ZRTD - Residential Trash & Debris,Investigate,
2/25/2021,CE21-0158,Enforcement Case,"2008 TOKAY ST, SANTA ROSA CA 95404",Rooster,ZRA - Residential Animal Violation,Closed,
2/25/2021,CE21-0157,Enforcement Case,"415 DAVIS ST, SANTA ROSA CA 95401","Dance studio is holding classes in-person inside, including partner dancing requiring students to be in close contact with one another.",COVID - Indoor Operation,Investigate,
2/25/2021,CE21-0156,Enforcement Case,"1116 4TH ST, SANTA ROSA CA 95404",Grocery Outlet is allowing customers to shop without wearing masks,COVID - Commercial Masking,Closed,
2/25/2021,CE21-0155,Enforcement Case,"2727 DOWD DR, SANTA ROSA CA 95407","One service manager greeting customers, delivering vehicles to customers, etc. with no mask.  All other employees were masked.  Complainant was told there was nothing they could do about the manager with no mask.",COVID - Commercial Masking,Closed,
2/25/2021,CE21-0154,Enforcement Case,"1289 SEBASTOPOL RD, SANTA ROSA CA 95407",Employees not wearing masks or social distancing; are assisting customers without wearing masks,COVID - Commercial Masking,Closed,
2/24/2021,CE21-0153,Enforcement Case,"915 DELPORT AVE, SANTA ROSA CA 95407","Resident operates very loud wood grinding shop in backyard; also operates large, industrial smoker.",ZRHO - Home Occupation,Investigate,
2/24/2021,CE21-0152,Enforcement Case,"1900 SANTA ROSA AVE, SANTA ROSA CA 95407",Abandoned shopping carts and mounds of trash along fence line behind the hotel.,"ZCTD, Homeless - Commercial Trash & Debris, Homeless Encampment",Investigate,
2/24/2021,CE21-0151,Enforcement Case,"742 PARKSIDE DR, SANTA ROSA CA 95404",Large RV parked on street with electrical hooked up and someone living in it.  Hasn't moved in 2 years.,HRIL - Illegal Residential Unit,Investigate,
2/23/2021,CE21-0150,Enforcement Case,"4616 MORRIS CT, SANTA ROSA CA 95405",Rooster,ZRA - Residential Animal Violation,Investigate,
2/23/2021,CE21-0149,Enforcement Case,"450 COLLEGE AVE, SANTA ROSA CA 95401",Interior remodel tenant improvements w/o benefit of permit(s),BCNP - Building Commercial No Permit,In Progress,
2/23/2021,CE21-0148,Enforcement Case,"1430 GREY HAWK WAY, SANTA ROSA CA 95409",Rug in backyard has black and white mold,ZRM - Residential Miscellaneous,Closed,
2/23/2021,CE21-0147,Enforcement Case,"548 GREEN CT, SANTA ROSA CA 95404",Retaining wall collapsed onto the sidewalk in two places creating a trip hazard; no attempt to repair or mitigate.,ZRM - Residential Miscellaneous,In Progress,
2/23/2021,CE21-0146,Enforcement Case,"1569 MANZANITA AVE, SANTA ROSA CA 95404",Spotlight on garage shines into neighbor's bedroom window all night; resident(s) unresponsive to requests to redirect.,ZRM - Residential Miscellaneous,Investigate,
2/23/2021,CE21-0145,Enforcement Case,"925 WASHINGTON ST, SANTA ROSA CA 95401","Several trees on south fence line not being maintained, causing damage to fence and encroaching onto neighboring property.",ZRM - Residential Miscellaneous,Investigate,
2/23/2021,CE21-0144,Enforcement Case,"1208 HENDLEY ST, SANTA ROSA CA 95404",Graffiti on fence and bathroom.,GRAF - Graffiti,Closed,
2/23/2021,CE21-0143,Enforcement Case,"3254 MAGOWAN DR, SANTA ROSA CA 95405",Diseased oak tree in front of house is dying and looks to be in danger of falling.,ZRM - Residential Miscellaneous,Investigate,
2/22/2021,CE21-0142,Enforcement Case,"1008 S A ST, SANTA ROSA CA 95404","Auto shop parking its customers' cars on streets, including nearby Earle St.  This causes a residential parking problem in the neighborhood. Some vehicles are inoperable and attract vagrants.",ZCM - Commercial Miscellaneous,In Progress,
2/22/2021,CE21-0141,Enforcement Case,"1140 4TH ST, 136, SANTA ROSA CA 95404",Asbestos concerns,HRS - Substandard Residential,Investigate,
2/19/2021,CE21-0140,Enforcement Case,"521 GOODMAN AVE, SANTA ROSA CA 95407",Roof overhang encroaches onto property to the north; windows look directly into neighbor's bedroom and back deck.,ZRM - Residential Miscellaneous,Investigate,
2/19/2021,CE21-0139,Enforcement Case,"1694 DUTTON AVE, SANTA ROSA CA 95407",Demolition done in an uncontained area causing exposure to mold and asbestos.,HRS - Substandard Residential,In Progress,
2/19/2021,CE21-0138,Enforcement Case,"1599 GAMAY ST, SANTA ROSA CA 95403","New roof install, including new plywood, without benefit of a permit.",BRNP - Building Residential No Permit,Closed,
2/19/2021,CE21-0137,Enforcement Case,"1275 SANTA ROSA AVE, SANTA ROSA CA 95404","Sales people not wearing masks appropriately, or at all, and were witnessed telling customers that they don't enforce masking, at which time those customers took off their masks.",COVID - Commercial Masking,Closed,
2/19/2021,CE21-0136,Enforcement Case,"609 5TH ST, SANTA ROSA CA 95404","Two of the cooks inside, visible from the outdoor dining area, were not wearing masks while preparing meals.",COVID - Commercial Masking,Closed,
2/19/2021,CE21-0135,Enforcement Case,"938 W COLLEGE AVE, SANTA ROSA CA 95401",Zumba classes being held indoors with no masks being worn.,COVID - Commercial Masking,Closed,
2/19/2021,CE21-0134,Enforcement Case,"3215 COFFEY LN, SANTA ROSA CA 95403",It was reported that St. Vincent's (St. Vincent de Paul HS in Petaluma) football team intended to practice indoors at Epicenter on 1/28 and possibly on future dates due to weather.,COVID - Commercial Masking,Closed,
2/18/2021,CE21-0133,Enforcement Case,"311 COLGAN AVE, F, SANTA ROSA CA 95404",Garage converted to living quarters,GC - Garage Conversion,In Progress,
2/18/2021,CE21-0132,Enforcement Case,"311 COLGAN AVE, D, SANTA ROSA CA 95404",Roosters and chickens,ZRA - Residential Animal Violation,In Progress,
2/18/2021,CE21-0131,Enforcement Case,"311 COLGAN AVE, C, SANTA ROSA CA 95404","Roosters and chickens; roosters crow all day starting early morningGarage converted to living quartersPeople living in motorhome with no hookupsTrash on property attracting rodents and wildlifeUnsanitary living conditions - mold, leaky roof, etc.","GC, ZRTD, HRS, ZRA - Garage Conversion, Residential Trash & Debris, Substandard Residential, Residential Animal Violation",In Progress,
2/18/2021,CE21-0130,Enforcement Case,"311 COLGAN AVE, B, SANTA ROSA CA 95404","Roosters and chickens; roosters crow all day starting early morningGarage converted to living quartersPeople living in motorhome with no hookupsTrash on property attracting rodents and wildlifeUnsanitary living conditions - mold, leaky roof, etc.","GC, ZRTD, HRS, ZRA - Garage Conversion, Residential Trash & Debris, Substandard Residential, Residential Animal Violation",In Progress,
2/18/2021,CE21-0129,Enforcement Case,"311 COLGAN AVE, A, SANTA ROSA CA 95404","Roosters and chickens; roosters crow all day starting early morning Garage converted to living quarters People living in motorhome with no hookups Trash on property attracting rodents and wildlife Unsanitary living conditions - mold, leaky roof, etc.","GC, ZRTD, HRS, ZRA - Garage Conversion, Residential Trash & Debris, Substandard Residential, Residential Animal Violation",In Progress,
2/18/2021,CE21-0128,Enforcement Case,"2230 CLEVELAND AVE, SANTA ROSA CA 95403",Homeless encampment in vacant commercial building.,"ZCTD, VAC, Homeless - Commercial Trash & Debris, Vacant and/or Abandoned Bldg., Homeless Encampment",In Progress,
2/18/2021,CE21-0127,Enforcement Case,"2345 HOOD CT, SANTA ROSA CA 95401",Severe substandard conditions.,HRS - Substandard Residential,In Progress,
2/17/2021,CE21-0126,Enforcement Case,"3224 DUTTON AVE, SANTA ROSA CA 95407",Employees not required to wear masks unless a customer enters.,COVID - Commercial Masking,Closed,
2/17/2021,CE21-0125,Enforcement Case,"117 4TH ST, SANTA ROSA CA 95401",Social distancing not being enforced in outdoor dining area.,COVID/Commercial,Closed,
2/17/2021,CE21-0124,Enforcement Case,"1945 MENDOCINO AVE, SANTA ROSA CA 95401",Salon not enforcing masking.,COVID - Commercial Masking,Investigate,
2/17/2021,CE21-0123,Enforcement Case,"3503 BROOKDALE DR, SANTA ROSA CA 95404",Adding of soil on lot,BRNP -Building Residential No Permit,Investigate,
2/17/2021,CE21-0122,Enforcement Case,"3507 BROOKDALE DR, SANTA ROSA CA 95404",Adding of soil on lot,BRNP -Building Residential No Permit,Investigate,
2/16/2021,CE21-0121,Enforcement Case,"4887 HOEN AVE, SANTA ROSA CA 95405","Attached deck, serving the house.  Porch with stairs.",BRNP-Building Residential- No Permit,In Progress,
2/16/2021,CE21-0120,Enforcement Case,"1236 MANHATTAN WAY, SANTA ROSA CA 95401",Residents frequently disturb the peace; they rev loud car engines and play very loud music; at least 7 cars related to residents and work is done on them in driveway and street; truck in driveway appears to be inoperable and Mercedes in street hasn't moved.,"ZRVS, ZRM - Residential Vehicular, Residential Miscellaneous",Investigate,
2/16/2021,CE21-0119,Enforcement Case,"1661 HEARN AVE, SANTA ROSA CA 95407","Large redwood tree in back of house is being choked by a chain that holds a power line. Complainant's ""tree man"" says the tree can heal if chain is removed, otherwise, it is ""doomed.""",ZRM - Residential Miscellaneous,Investigate,
2/16/2021,CE21-0118,Enforcement Case,"565 HALWOOD CT, SANTA ROSA CA 95407","New owners removed front yard landscaping to park several vehicles across yard, and have placed orange cones on the street in an effort to stop others from parking there.",ZRVS - Residential Vehicular,In Progress,
2/16/2021,CE21-0117,Enforcement Case,"2530 SHAWNEE ST, SANTA ROSA CA 95403",Garage turned into living area with around 12 people total living in the house.,GC - Garage Conversion,In Progress,
2/16/2021,CE21-0116,Enforcement Case,"1142 ORCHARD ST, SANTA ROSA CA 95404",Flood lights shine directly into neighbor's home; planter box/container in street blocking parking access.,ZRM - Residential Miscellaneous,Investigate,
2/12/2021,CE21-0115,Enforcement Case,"311 COLGAN AVE, SANTA ROSA CA 95404","Trash and debris, Habitation of R.V., OvercrowdingUnit D - RoosterUnit F - Garage Conversion",,Investigate,
2/11/2021,CE21-0114,Enforcement Case,"1308 STARVIEW DR, SANTA ROSA CA 95403",Lot being used as staging for constructionDoes not have issued permit for constructionHas application in for rebuild with no activity since 1/13/2020Use as a construction yard or storage requires a Temp use permit,BRNP -Building Residential No Permit,In Progress,
2/11/2021,CE21-0113,Enforcement Case,"2420 LOMITAS AVE, SANTA ROSA CA 95404",unpermitted patio structure. Permit B21-0789,,Investigate,
2/10/2021,CE21-0112,Enforcement Case,"2000 TOKAY ST, SANTA ROSA CA 95404",Rooster,ZRA - Residentail Animal Violation,Closed,
2/9/2021,CE21-0111,Enforcement Case,"452 GOODMAN AVE, SANTA ROSA CA 95407",parking vehicles on front lawn. sediment flow into a storm drain,,In Progress,
2/5/2021,CE21-0110,Enforcement Case,"1679 WARING CT, SANTA ROSA CA 95403",Rooster,ZRA - Residential Animal Violation,Closed,
2/5/2021,CE21-0109,Enforcement Case,"928 TEMPLE AVE, SANTA ROSA CA 95404","CE21-0109 - SWO Issued for interior remodel. Removal of wall coverings, BPEM required. Windows, slider replaced. Evaluate for sprinklers.",ZRHO - Home Occupation,In Progress,
2/5/2021,CE21-0108,Enforcement Case,"817 RUSSELL AVE, C, SANTA ROSA CA 95403",UNPAID CANNABIS BUSINESS TAX,,Open,
2/5/2021,CE21-0107,Enforcement Case,"3236 SONOMA AVE, SANTA ROSA CA 95405",STOP WORK ORDER. INTERIOR REMODEL,,In Progress,
2/5/2021,CE21-0106,Enforcement Case,"515 ORCHARD ST, SANTA ROSA CA 95404",Work being done on house without benefit of a permit; crews working on house during illegal hours; house is in historic preservation district.,BRNP - Building Residential No Permit,Investigate,
2/5/2021,CE21-0105,Enforcement Case,"3270 SONOMA AVE, SANTA ROSA CA 95405",SWO Order Issued. REMOVAL OF DRYWALL. WATER DAMAGE,,In Progress,
2/5/2021,CE21-0104,Enforcement Case,"117 CARRILLO ST, SANTA ROSA CA 95401",SWO Order Issued. Interior remodel,SWO - Stop Work Order,In Progress,
2/5/2021,CE21-0103,Enforcement Case,"4335 PARKER HILL RD, SANTA ROSA CA 95404",Several dead and burnt trees that are fire hazards and fall hazards.,ZRM - Residential Miscellaneous,Investigate,
2/5/2021,CE21-0102,Enforcement Case,"2022 STONY OAK CT, SANTA ROSA CA 95403",Several dead and burnt trees that are fire hazards and fall hazards.,ZRM - Residential Miscellaneous,Investigate,
2/5/2021,CE21-0101,Enforcement Case,"2019 FOXTAIL CT, SANTA ROSA CA 95403",Several dead and burnt trees that are fire hazards and fall hazards.,ZRM - Residential Miscellaneous,Investigate,
2/5/2021,CE21-0100,Enforcement Case,"2023 FOXTAIL CT, SANTA ROSA CA 95403",Several dead and burnt trees that are fire hazards and fall hazards.,ZRM - Residential Miscellaneous,Investigate,
2/5/2021,CE21-0099,Enforcement Case,"311 COLGAN AVE, E, SANTA ROSA CA 95404","Roosters and chickens; roosters crow all day starting early morningGarage converted to living quartersPeople living in motorhome with no hookupsTrash on property attracting rodents and wildlifeUnsanitary living conditions - mold, leaky roof, etc.","GC, ZRTD, HRS, ZRA - Garage Conversion, Residential Trash & Debris, Substandard Residential, Residential Animal Violation",In Progress,
2/4/2021,CE21-0098,Enforcement Case,"1684 HAPPY VALLEY RD, SANTA ROSA CA 95409","Standing water causing mold and attracting mosquitos, yard not kept.",ZRM - Residential Miscellaneous,Investigate,
2/4/2021,CE21-0097,Enforcement Case,"3476 WALNUT GROVE ST, SANTA ROSA CA 95403","Homeless encampment on vacant lot, encampment extends behind property.","Homeless, ZRTD, VAC - Homeless Encampment, Residential Trash & Debris, Vancant and/or Abandoned Bldg (Lot)",Investigate,
2/4/2021,CE21-0096,Enforcement Case,"6563 STONECROFT TER, SANTA ROSA CA 95409","Fire at an electrical outlet in common wall with 6565 Stonecroft was extinguished, however an electrician found the ground wires in three outlets to be hot and shut the power off to those outlets. Possible fire hazard.",HRS - Substandard Residential,Closed,
2/4/2021,CE21-0095,Enforcement Case,"1080 JENNINGS AVE, 215, SANTA ROSA CA 95401","Resident has moved ""mass"" from storage into small apartment.",HRS - Substandard Residential,Investigate,
2/4/2021,CE21-0094,Enforcement Case,"320 TESCONI CIR, D, SANTA ROSA CA 95401",Classes being conducted inside dojo; students not wearing masks.,COVID - Indoor Operation,In Progress,
2/4/2021,CE21-0093,Enforcement Case,"101 6TH ST, SANTA ROSA CA 95401",Social distancing not being enforced; only one hand sanitizer in building; too many communal objects; food being prepared without gloves.,COVID - Commercial,Closed,
2/3/2021,CE21-0092,Enforcement Case,"2032 SHELBOURNE WAY, SANTA ROSA CA 95403",Dead tree on vacant lot possibly in danger of falling on neighbor's house.,"TREE, VAC - Tree Viloation, Vacant and/or Abandoned Bldg. (Lot)",Closed,
2/3/2021,CE21-0091,Enforcement Case,"2628 ARROWHEAD DR, SANTA ROSA CA 95407",Possibly too many people living in the house; mattresses in garage as if inhabited.,GC - Garage Conversion,Investigate,
2/3/2021,CE21-0090,Enforcement Case,"1240 PETALUMA HILL RD, SANTA ROSA CA 95404",GANG GRAFFITI ON SOUTH SIDE OF BUILDING,GRAF - Graffiti,Investigate,
2/3/2021,CE21-0089,Enforcement Case,"2053 BURBANK AVE, SANTA ROSA CA 95407",CANNABIS CULTIVATION,CRR - CANNABIS RELATED RESPONSE,In Progress,
2/3/2021,CE21-0088,Enforcement Case,"2601 MCBRIDE LN, 66, SANTA ROSA CA 95403",Bedbugs reported to apartment manager but no action is being taken,HRS - Substandard Residential,Closed,
2/3/2021,CE21-0087,Enforcement Case,"1114 HUMBOLDT ST, SANTA ROSA CA 95404",Conversion of SFD into duplex without benefit of permit(s).,BRNP - Building Residential No Permit,Investigate,
2/3/2021,CE21-0086,Enforcement Case,"3330 MIDWAY DR, SANTA ROSA CA 95405",Stop work order issued. Partial enclosure of carport,SWO - Stop Work Order,Closed,
2/2/2021,CE21-0085,Enforcement Case,"3535 INDUSTRIAL DR, A1, SANTA ROSA CA 95403",Cannabis retail store front and manufacturing lab without permits and approvals.,CRR- Cannabis Related Response,In Progress,
2/1/2021,CE21-0084,Enforcement Case,"1926 WALTZER RD, SANTA ROSA CA 95403",Trailer belonging to 1926 Waltzer Rd parked on Lapper and overflowing with trash & debris. Has been there a couple of months and some of the items periodically get blown into the street and gutter.,"ZRTD, ZRVS - Residential Trash & Debris, Residential Vehicular",Closed,
2/1/2021,CE21-0083,Enforcement Case,"1524 DUTTON AVE, SANTA ROSA CA 95407",Structure Fire,ECO - Emergency Call Out,In Progress,
2/1/2021,CE21-0082,Enforcement Case,"3720 STANHOPE CT, SANTA ROSA CA 95404",illegal dumping on vacant lot,ZRTD - Residential Trash and Debris,Open,
1/29/2021,CE21-0081,Enforcement Case,"2581 GOBAR LN, SANTA ROSA CA 95403",Large tree in parkway unmaintained. It is pushing up the sidewalk making it uneven/unsafe and its branches are hanging over the street and street sweeper has to go around it.,ZRM - Residential Miscellaneous,Investigate,
1/29/2021,CE21-0080,Enforcement Case,"10 4TH ST, 208, SANTA ROSA CA 95401",Owner using commercial suite as a residence.,HRIL - Illegal Residential Unit,Closed,
1/29/2021,CE21-0079,Enforcement Case,"3550 BANYAN ST, SANTA ROSA CA 95403",Well over 20 people living at this residence in poor conditions; garage illegally converted into bedrooms; over a dozen cars parked along the street and across the sidewalk.,"GC, HRS, ZRM - Garage Conversion, Substandard Residential, Residential Miscellaneous",Closed,
1/29/2021,CE21-0078,Enforcement Case,"55 COLLEGE AVE, SANTA ROSA CA 95401",Owner not enforcing mask wearing.,COVID - Commercial Masking,Closed,
1/29/2021,CE21-0077,Enforcement Case,"2555 GOBAR LN, SANTA ROSA CA 95403",Dumping of trash and debris on property  to the east. Home occupation: vehicle repair. Inoperative vehicles. Blocking sidewalk.,ZRTD - Residential Trash and Debris,Investigate,
1/28/2021,CE21-0076,Enforcement Case,"1201 PINER RD, SANTA ROSA CA 95403",Intrepid Thrift Store (formerly Crossing the Jordan) staff not wearing masks in the back. Business also does not have zoning clearance.,COVID Commercial,Closed,
1/28/2021,CE21-0075,Enforcement Case,"1040 N DUTTON AVE, F, SANTA ROSA CA 95401",Masking not being enforced; neither employees nor clientele wearing masks inside.,COVID - Commercial Masking,Closed,
1/28/2021,CE21-0074,Enforcement Case,"46 W COLLEGE AVE, SANTA ROSA CA 95401",Masking not being enforced; neither employees nor clientele wearing masks inside.,COVID - Commercial Masking,Investigate,
1/28/2021,CE21-0073,Enforcement Case,"440 DUTTON AVE, 9, SANTA ROSA CA 95407",Employee(s) not wearing mask(s).,COVID - Commercial Masking,Closed,
1/28/2021,CE21-0072,Enforcement Case,"1600 CUNNINGHAM WAY, SANTA ROSA CA 95403",Minor kitchen remodel - plumbing permit required.,BRNP - Building Residential No Permit,In Progress,
1/28/2021,CE21-0071,Enforcement Case,"1390 SANTA ROSA AVE, SANTA ROSA CA 95404",Employees not wearing masks; manager declined to wear a mask when asked to do so.,COVID - Commercial Masking,Closed,
